# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:29 2025
# Параметры расчета:
# Шаг угла α: 36 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 11
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

alpha[град],stroke_full_main[м];stroke1_main[м];stroke2_main[м];velocity_full_main[м/с];velocity1_main[м/с];velocity2_main[м/с];acceleration_full_main[м/с²];acceleration1_main[м/с²];acceleration2_main[м/с²];stroke_full_side[м];stroke1_side[м];stroke2_side[м];velocity_full_side[м/с];velocity1_side[м/с];velocity2_side[м/с];acceleration_full_side[м/с²];acceleration1_side[м/с²];acceleration2_side[м/с²]
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6569.208689;5053.237453;1515.971236;0.023000;0.020000;0.003000;-10.053096;-10.053096;-0.000000;-1515.971236;0.000000;-1515.971236
36.000000;0.004856;0.003820;0.001036;7.343221;5.909062;1.434159;4556.615851;4088.154976;468.460875;0.010208;0.008244;0.001964;-9.567285;-8.133126;-1.434159;2501.757577;2970.218451;-468.460875
72.000000;0.016533;0.013820;0.002714;10.447422;9.561063;0.886359;335.089757;1561.536250;-1226.446493;0.001265;0.000979;0.000286;-3.992937;-3.106578;-0.886359;6032.360901;4805.914408;1226.446493
108.000000;0.028894;0.026180;0.002714;8.674704;9.561063;-0.886359;-2787.982743;-1561.536250;-1226.446493;0.001265;0.000979;0.000286;3.992937;3.106578;0.886359;6032.360901;4805.914408;1226.446493
144.000000;0.037217;0.036180;0.001036;4.474902;5.909062;-1.434159;-3619.694101;-4088.154976;468.460875;0.010208;0.008244;0.001964;9.567285;8.133126;1.434159;2501.757577;2970.218451;-468.460875
180.000000;0.040000;0.040000;0.000000;0.000000;0.000000;-0.000000;-3537.266217;-5053.237453;1515.971236;0.023000;0.020000;0.003000;10.053096;10.053096;0.000000;-1515.971236;0.000000;-1515.971236
216.000000;0.037217;0.036180;0.001036;-4.474902;-5.909062;1.434159;-3619.694101;-4088.154976;468.460875;0.033719;0.031756;0.001964;6.698966;8.133126;-1.434159;-3438.679326;-2970.218451;-468.460875
252.000000;0.028894;0.026180;0.002714;-8.674704;-9.561063;0.886359;-2787.982743;-1561.536250;-1226.446493;0.039308;0.039021;0.000286;2.220218;3.106578;-0.886359;-3579.467915;-4805.914408;1226.446493
288.000000;0.016533;0.013820;0.002714;-10.447422;-9.561063;-0.886359;335.089757;1561.536250;-1226.446493;0.039308;0.039021;0.000286;-2.220218;-3.106578;0.886359;-3579.467915;-4805.914408;1226.446493
324.000000;0.004856;0.003820;0.001036;-7.343221;-5.909062;-1.434159;4556.615851;4088.154976;468.460875;0.033719;0.031756;0.001964;-6.698966;-8.133126;1.434159;-3438.679326;-2970.218451;-468.460875
360.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;6569.208689;5053.237453;1515.971236;0.023000;0.020000;0.003000;-10.053096;-10.053096;0.000000;-1515.971236;-0.000000;-1515.971236
