# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:41 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²]
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6569.208689;5053.237453;1515.971236
1.000000;0.000004;0.000003;0.000001;0.228078;0.175451;0.052627;6567.515568;5052.467821;1515.047747
2.000000;0.000016;0.000012;0.000004;0.456038;0.350848;0.105190;6562.437564;5050.159158;1512.278406
3.000000;0.000036;0.000027;0.000008;0.683764;0.526138;0.157625;6553.978754;5046.312167;1507.666587
4.000000;0.000063;0.000049;0.000015;0.911137;0.701269;0.209868;6542.145929;5040.928021;1501.217908
5.000000;0.000099;0.000076;0.000023;1.138040;0.876185;0.261855;6526.948586;5034.008359;1492.940227
6.000000;0.000142;0.000110;0.000033;1.364358;1.050835;0.313523;6508.398917;5025.555290;1482.843627
7.000000;0.000194;0.000149;0.000045;1.589974;1.225164;0.364810;6486.511799;5015.571388;1470.940411
8.000000;0.000253;0.000195;0.000058;1.814772;1.399121;0.415651;6461.304775;5004.059694;1457.245081
9.000000;0.000320;0.000246;0.000073;2.038637;1.572651;0.465987;6432.798037;4991.023715;1441.774323
10.000000;0.000394;0.000304;0.000090;2.261456;1.745702;0.515754;6401.014406;4976.467422;1424.546984
11.000000;0.000477;0.000367;0.000109;2.483115;1.918221;0.564893;6365.979303;4960.395249;1405.584054
12.000000;0.000567;0.000437;0.000130;2.703501;2.090156;0.613344;6327.720728;4942.812091;1384.908637
13.000000;0.000664;0.000513;0.000152;2.922503;2.261455;0.661048;6286.269226;4923.723305;1362.545921
14.000000;0.000770;0.000594;0.000176;3.140011;2.432064;0.707946;6241.657859;4903.134705;1338.523154
15.000000;0.000882;0.000681;0.000201;3.355915;2.601933;0.753982;6193.922164;4881.052563;1312.869602
16.000000;0.001003;0.000775;0.000228;3.570108;2.771009;0.799099;6143.100125;4857.483604;1285.616521
17.000000;0.001130;0.000874;0.000256;3.782484;2.939241;0.843243;6089.232123;4832.435010;1256.797114
18.000000;0.001265;0.000979;0.000286;3.992937;3.106578;0.886359;6032.360901;4805.914408;1226.446493
19.000000;0.001408;0.001090;0.000318;4.201364;3.272968;0.928396;5972.531515;4777.929879;1194.601636
20.000000;0.001557;0.001206;0.000351;4.407662;3.438362;0.969301;5909.791287;4748.489946;1161.301341
21.000000;0.001714;0.001328;0.000385;4.611733;3.602708;1.009025;5844.189757;4717.603577;1126.586180
22.000000;0.001877;0.001456;0.000421;4.813476;3.765956;1.047520;5775.778626;4685.280180;1090.498446
23.000000;0.002048;0.001590;0.000458;5.012797;3.928058;1.084739;5704.611710;4651.529601;1053.082108
24.000000;0.002225;0.001729;0.000496;5.209599;4.088963;1.120636;5630.744874;4616.362122;1014.382752
25.000000;0.002410;0.001874;0.000536;5.403790;4.248622;1.155168;5554.235981;4579.788454;974.447527
26.000000;0.002601;0.002024;0.000577;5.595280;4.406987;1.188292;5475.144825;4541.819738;933.325088
27.000000;0.002798;0.002180;0.000618;5.783979;4.564010;1.219969;5393.533075;4502.467539;891.065535
28.000000;0.003002;0.002341;0.000661;5.969802;4.719643;1.250159;5309.464203;4461.743846;847.720357
29.000000;0.003213;0.002508;0.000705;6.152664;4.873838;1.278826;5223.003424;4419.661062;803.342362
30.000000;0.003429;0.002679;0.000750;6.332484;5.026548;1.305936;5134.217624;4376.232006;757.985618
31.000000;0.003652;0.002857;0.000796;6.509181;5.177727;1.331454;5043.175293;4331.469908;711.705385
32.000000;0.003881;0.003039;0.000842;6.682679;5.327329;1.355349;4949.946451;4285.388402;664.558049
33.000000;0.004116;0.003227;0.000890;6.852903;5.475309;1.377594;4854.602577;4238.001525;616.601052
34.000000;0.004357;0.003419;0.000938;7.019781;5.621620;1.398160;4757.216532;4189.323712;567.892820
35.000000;0.004604;0.003617;0.000987;7.183242;5.766219;1.417023;4657.862490;4139.369790;518.492699
36.000000;0.004856;0.003820;0.001036;7.343221;5.909062;1.434159;4556.615851;4088.154976;468.460875
37.000000;0.005114;0.004027;0.001087;7.499653;6.050104;1.449548;4453.553174;4035.694871;417.858303
38.000000;0.005377;0.004240;0.001137;7.652476;6.189304;1.463171;4348.752089;3982.005454;366.746635
39.000000;0.005645;0.004457;0.001188;7.801630;6.326619;1.475012;4242.291222;3927.103079;315.188143
40.000000;0.005919;0.004679;0.001240;7.947061;6.462006;1.485055;4134.250113;3871.004471;263.245643
41.000000;0.006197;0.004906;0.001291;8.088714;6.595425;1.493289;4024.709135;3813.726717;210.982418
42.000000;0.006480;0.005137;0.001343;8.226538;6.726835;1.499704;3913.749409;3755.287265;158.462144
43.000000;0.006768;0.005373;0.001395;8.360486;6.856195;1.504291;3801.452724;3695.703917;105.748808
44.000000;0.007061;0.005613;0.001448;8.490513;6.983468;1.507046;3687.901454;3634.994821;52.906633
45.000000;0.007358;0.005858;0.001500;8.616577;7.108613;1.507964;3573.178470;3573.178470;0.000000
46.000000;0.007659;0.006107;0.001552;8.738638;7.231592;1.507046;3457.367062;3510.273695;-52.906633
47.000000;0.007965;0.006360;0.001605;8.856660;7.352369;1.504291;3340.550848;3446.299656;-105.748808
48.000000;0.008274;0.006617;0.001657;8.970610;7.470907;1.499704;3222.813698;3381.275841;-158.462144
49.000000;0.008588;0.006879;0.001709;9.080457;7.587168;1.493289;3104.239639;3315.222057;-210.982418
50.000000;0.008905;0.007144;0.001760;9.186174;7.701119;1.485055;2984.912781;3248.158424;-263.245643
51.000000;0.009225;0.007414;0.001812;9.287735;7.812723;1.475012;2864.917227;3180.105370;-315.188143
52.000000;0.009550;0.007687;0.001863;9.385120;7.921948;1.463171;2744.336991;3111.083626;-366.746635
53.000000;0.009877;0.007964;0.001913;9.478308;8.028760;1.449548;2623.255912;3041.114215;-417.858303
54.000000;0.010208;0.008244;0.001964;9.567285;8.133126;1.434159;2501.757577;2970.218451;-468.460875
55.000000;0.010542;0.008528;0.002013;9.652038;8.235015;1.417023;2379.925231;2898.417931;-518.492699
56.000000;0.010878;0.008816;0.002062;9.732555;8.334395;1.398160;2257.841703;2825.734523;-567.892820
57.000000;0.011217;0.009107;0.002110;9.808830;8.431236;1.377594;2135.589319;2752.190370;-616.601052
58.000000;0.011559;0.009402;0.002158;9.880859;8.525509;1.355349;2013.249824;2677.807873;-664.558049
59.000000;0.011903;0.009699;0.002204;9.948639;8.617186;1.331454;1890.904305;2602.609690;-711.705385
60.000000;0.012250;0.010000;0.002250;10.012172;8.706237;1.305936;1768.633109;2526.618727;-757.985618
61.000000;0.012599;0.010304;0.002295;10.071463;8.792636;1.278826;1646.515769;2449.858131;-803.342362
62.000000;0.012949;0.010611;0.002339;10.126517;8.876357;1.250159;1524.630927;2372.351284;-847.720357
63.000000;0.013302;0.010920;0.002382;10.177343;8.957375;1.219969;1403.056261;2294.121797;-891.065535
64.000000;0.013656;0.011233;0.002423;10.223955;9.035663;1.188292;1281.868410;2215.193497;-933.325088
65.000000;0.014012;0.011548;0.002464;10.266367;9.111200;1.155168;1161.142902;2135.590429;-974.447527
66.000000;0.014369;0.011865;0.002504;10.304597;9.183961;1.120636;1040.954086;2055.336838;-1014.382752
67.000000;0.014727;0.012185;0.002542;10.338663;9.253924;1.084739;921.375064;1974.457173;-1053.082108
68.000000;0.015087;0.012508;0.002579;10.368589;9.321069;1.047520;802.477622;1892.976068;-1090.498446
69.000000;0.015447;0.012833;0.002615;10.394399;9.385374;1.009025;684.332165;1810.918345;-1126.586180
70.000000;0.015809;0.013160;0.002649;10.416121;9.446821;0.969301;567.007657;1728.308998;-1161.301341
71.000000;0.016171;0.013489;0.002682;10.433785;9.505389;0.928396;450.571556;1645.173192;-1194.601636
72.000000;0.016533;0.013820;0.002714;10.447422;9.561063;0.886359;335.089757;1561.536250;-1226.446493
73.000000;0.016896;0.014153;0.002744;10.457067;9.613824;0.843243;220.626535;1477.423649;-1256.797114
74.000000;0.017259;0.014487;0.002772;10.462756;9.663657;0.799099;107.244489;1392.861010;-1285.616521
75.000000;0.017623;0.014824;0.002799;10.464528;9.710546;0.753982;-4.995509;1307.874092;-1312.869602
76.000000;0.017986;0.015162;0.002824;10.462423;9.754477;0.707946;-116.034370;1222.488784;-1338.523154
77.000000;0.018349;0.015501;0.002848;10.456484;9.795436;0.661048;-225.814828;1136.731093;-1362.545921
78.000000;0.018712;0.015842;0.002870;10.446757;9.833412;0.613344;-334.281494;1050.627143;-1384.908637
79.000000;0.019075;0.016184;0.002891;10.433286;9.868393;0.564893;-441.380892;964.203162;-1405.584054
