# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:30 2025
# Параметры расчета:
# Шаг угла α: 36 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 11
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

alpha[град];stroke_full_main[м];velocity_full_main[м/с];acceleration_full_main[м/с²];stroke_full_side[м];velocity_full_side[м/с];acceleration_full_side[м/с²]
0.000000;0.000000;0.000000;6569.208689;0.023000;-10.053096;-1515.971236
36.000000;0.004856;7.343221;4556.615851;0.010208;-9.567285;2501.757577
72.000000;0.016533;10.447422;335.089757;0.001265;-3.992937;6032.360901
108.000000;0.028894;8.674704;-2787.982743;0.001265;3.992937;6032.360901
144.000000;0.037217;4.474902;-3619.694101;0.010208;9.567285;2501.757577
180.000000;0.040000;0.000000;-3537.266217;0.023000;10.053096;-1515.971236
216.000000;0.037217;-4.474902;-3619.694101;0.033719;6.698966;-3438.679326
252.000000;0.028894;-8.674704;-2787.982743;0.039308;2.220218;-3579.467915
288.000000;0.016533;-10.447422;335.089757;0.039308;-2.220218;-3579.467915
324.000000;0.004856;-7.343221;4556.615851;0.033719;-6.698966;-3438.679326
360.000000;0.000000;-0.000000;6569.208689;0.023000;-10.053096;-1515.971236
