# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:44 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²]
0.000000;0.000000;0.000000;6569.208689
1.000000;0.000004;0.228078;6567.515568
2.000000;0.000016;0.456038;6562.437564
3.000000;0.000036;0.683764;6553.978754
4.000000;0.000063;0.911137;6542.145929
5.000000;0.000099;1.138040;6526.948586
6.000000;0.000142;1.364358;6508.398917
7.000000;0.000194;1.589974;6486.511799
8.000000;0.000253;1.814772;6461.304775
9.000000;0.000320;2.038637;6432.798037
10.000000;0.000394;2.261456;6401.014406
11.000000;0.000477;2.483115;6365.979303
12.000000;0.000567;2.703501;6327.720728
13.000000;0.000664;2.922503;6286.269226
14.000000;0.000770;3.140011;6241.657859
15.000000;0.000882;3.355915;6193.922164
16.000000;0.001003;3.570108;6143.100125
17.000000;0.001130;3.782484;6089.232123
18.000000;0.001265;3.992937;6032.360901
19.000000;0.001408;4.201364;5972.531515
20.000000;0.001557;4.407662;5909.791287
21.000000;0.001714;4.611733;5844.189757
22.000000;0.001877;4.813476;5775.778626
23.000000;0.002048;5.012797;5704.611710
24.000000;0.002225;5.209599;5630.744874
25.000000;0.002410;5.403790;5554.235981
26.000000;0.002601;5.595280;5475.144825
27.000000;0.002798;5.783979;5393.533075
28.000000;0.003002;5.969802;5309.464203
29.000000;0.003213;6.152664;5223.003424
30.000000;0.003429;6.332484;5134.217624
31.000000;0.003652;6.509181;5043.175293
32.000000;0.003881;6.682679;4949.946451
33.000000;0.004116;6.852903;4854.602577
34.000000;0.004357;7.019781;4757.216532
35.000000;0.004604;7.183242;4657.862490
36.000000;0.004856;7.343221;4556.615851
37.000000;0.005114;7.499653;4453.553174
38.000000;0.005377;7.652476;4348.752089
39.000000;0.005645;7.801630;4242.291222
40.000000;0.005919;7.947061;4134.250113
41.000000;0.006197;8.088714;4024.709135
42.000000;0.006480;8.226538;3913.749409
43.000000;0.006768;8.360486;3801.452724
44.000000;0.007061;8.490513;3687.901454
45.000000;0.007358;8.616577;3573.178470
46.000000;0.007659;8.738638;3457.367062
47.000000;0.007965;8.856660;3340.550848
48.000000;0.008274;8.970610;3222.813698
49.000000;0.008588;9.080457;3104.239639
50.000000;0.008905;9.186174;2984.912781
51.000000;0.009225;9.287735;2864.917227
52.000000;0.009550;9.385120;2744.336991
53.000000;0.009877;9.478308;2623.255912
54.000000;0.010208;9.567285;2501.757577
55.000000;0.010542;9.652038;2379.925231
56.000000;0.010878;9.732555;2257.841703
57.000000;0.011217;9.808830;2135.589319
58.000000;0.011559;9.880859;2013.249824
59.000000;0.011903;9.948639;1890.904305
60.000000;0.012250;10.012172;1768.633109
61.000000;0.012599;10.071463;1646.515769
62.000000;0.012949;10.126517;1524.630927
63.000000;0.013302;10.177343;1403.056261
64.000000;0.013656;10.223955;1281.868410
65.000000;0.014012;10.266367;1161.142902
66.000000;0.014369;10.304597;1040.954086
67.000000;0.014727;10.338663;921.375064
68.000000;0.015087;10.368589;802.477622
69.000000;0.015447;10.394399;684.332165
70.000000;0.015809;10.416121;567.007657
71.000000;0.016171;10.433785;450.571556
72.000000;0.016533;10.447422;335.089757
73.000000;0.016896;10.457067;220.626535
74.000000;0.017259;10.462756;107.244489
75.000000;0.017623;10.464528;-4.995509
76.000000;0.017986;10.462423;-116.034370
77.000000;0.018349;10.456484;-225.814828
78.000000;0.018712;10.446757;-334.281494
79.000000;0.019075;10.433286;-441.380892
80.000000;0.019437;10.416122;-547.061509
81.000000;0.019798;10.395313;-651.273825
82.000000;0.020158;10.370912;-753.970355
83.000000;0.020518;10.342972;-855.105681
84.000000;0.020877;10.311548;-954.636482
85.000000;0.021234;10.276697;-1052.521563
86.000000;0.021590;10.238476;-1148.721882
87.000000;0.021945;10.196944;-1243.200573
88.000000;0.022298;10.152163;-1335.922962
89.000000;0.022650;10.104193;-1426.856593
90.000000;0.023000;10.053096;-1515.971236
91.000000;0.023348;9.998938;-1603.238901
92.000000;0.023694;9.941782;-1688.633850
93.000000;0.024039;9.881694;-1772.132601
94.000000;0.024381;9.818740;-1853.713934
95.000000;0.024720;9.752986;-1933.358890
96.000000;0.025058;9.684501;-2011.050773
97.000000;0.025393;9.613353;-2086.775142
98.000000;0.025725;9.539609;-2160.519808
99.000000;0.026055;9.463340;-2232.274820
100.000000;0.026383;9.384613;-2302.032459
101.000000;0.026707;9.303499;-2369.787216
102.000000;0.027029;9.220068;-2435.535780
103.000000;0.027347;9.134388;-2499.277014
104.000000;0.027663;9.046530;-2561.011937
105.000000;0.027975;8.956563;-2620.743694
106.000000;0.028285;8.864557;-2678.477530
107.000000;0.028591;8.770581;-2734.220762
108.000000;0.028894;8.674704;-2787.982743
109.000000;0.029193;8.576994;-2839.774828
110.000000;0.029489;8.477520;-2889.610339
111.000000;0.029782;8.376349;-2937.504524
112.000000;0.030071;8.273549;-2983.474514
113.000000;0.030357;8.169185;-3027.539281
114.000000;0.030638;8.063325;-3069.719591
115.000000;0.030917;7.956032;-3110.037956
116.000000;0.031191;7.847371;-3148.518585
117.000000;0.031461;7.737406;-3185.187332
118.000000;0.031728;7.626198;-3220.071641
119.000000;0.031991;7.513810;-3253.200493
120.000000;0.032250;7.400301;-3284.604345
121.000000;0.032505;7.285732;-3314.315075
122.000000;0.032756;7.170160;-3342.365923
123.000000;0.033003;7.053642;-3368.791422
124.000000;0.033246;6.936234;-3393.627344
125.000000;0.033485;6.817991;-3416.910630
126.000000;0.033719;6.698966;-3438.679326
127.000000;0.033950;6.579211;-3458.972518
128.000000;0.034176;6.458777;-3477.830261
129.000000;0.034398;6.337712;-3495.293513
130.000000;0.034616;6.216064;-3511.404066
131.000000;0.034830;6.093879;-3526.204475
132.000000;0.035039;5.971203;-3539.737985
133.000000;0.035245;5.848078;-3552.048464
134.000000;0.035446;5.724547;-3563.180328
135.000000;0.035642;5.600648;-3573.178470
136.000000;0.035834;5.476422;-3582.088188
137.000000;0.036022;5.351904;-3589.955109
138.000000;0.036206;5.227131;-3596.825122
139.000000;0.036385;5.102136;-3602.744299
140.000000;0.036560;4.976951;-3607.758828
141.000000;0.036731;4.851607;-3611.914936
142.000000;0.036897;4.726133;-3615.258819
143.000000;0.037059;4.600556;-3617.836568
144.000000;0.037217;4.474902;-3619.694101
145.000000;0.037370;4.349196;-3620.877091
146.000000;0.037519;4.223460;-3621.430891
147.000000;0.037663;4.097715;-3621.400473
148.000000;0.037803;3.971980;-3620.830353
149.000000;0.037939;3.846274;-3619.764522
150.000000;0.038071;3.720613;-3618.246388
151.000000;0.038198;3.595011;-3616.318700
152.000000;0.038320;3.469484;-3614.023489
153.000000;0.038438;3.344041;-3611.402004
154.000000;0.038552;3.218695;-3608.494650
155.000000;0.038662;3.093454;-3605.340927
156.000000;0.038767;2.968327;-3601.979370
157.000000;0.038868;2.843319;-3598.447493
158.000000;0.038965;2.718436;-3594.781734
159.000000;0.039057;2.593682;-3591.017397
160.000000;0.039145;2.469061;-3587.188605
161.000000;0.039228;2.344572;-3583.328243
162.000000;0.039308;2.220218;-3579.467915
163.000000;0.039383;2.095998;-3575.637896
164.000000;0.039453;1.971910;-3571.867084
165.000000;0.039519;1.847951;-3568.182961
166.000000;0.039581;1.724118;-3564.611551
167.000000;0.039639;1.600407;-3561.177384
168.000000;0.039693;1.476812;-3557.903454
169.000000;0.039742;1.353328;-3554.811195
170.000000;0.039787;1.229948;-3551.920438
171.000000;0.039827;1.106664;-3549.249392
172.000000;0.039863;0.983469;-3546.814613
173.000000;0.039895;0.860355;-3544.630976
174.000000;0.039923;0.737311;-3542.711663
175.000000;0.039947;0.614330;-3541.068133
176.000000;0.039966;0.491400;-3539.710113
177.000000;0.039981;0.368513;-3538.645580
178.000000;0.039991;0.245658;-3537.880751
179.000000;0.039998;0.122824;-3537.420074
180.000000;0.040000;0.000000;-3537.266217
181.000000;0.039998;-0.122824;-3537.420074
182.000000;0.039991;-0.245658;-3537.880751
183.000000;0.039981;-0.368513;-3538.645580
184.000000;0.039966;-0.491400;-3539.710113
185.000000;0.039947;-0.614330;-3541.068133
186.000000;0.039923;-0.737311;-3542.711663
187.000000;0.039895;-0.860355;-3544.630976
188.000000;0.039863;-0.983469;-3546.814613
189.000000;0.039827;-1.106664;-3549.249392
190.000000;0.039787;-1.229948;-3551.920438
191.000000;0.039742;-1.353328;-3554.811195
192.000000;0.039693;-1.476812;-3557.903454
193.000000;0.039639;-1.600407;-3561.177384
194.000000;0.039581;-1.724118;-3564.611551
195.000000;0.039519;-1.847951;-3568.182961
196.000000;0.039453;-1.971910;-3571.867084
197.000000;0.039383;-2.095998;-3575.637896
198.000000;0.039308;-2.220218;-3579.467915
199.000000;0.039228;-2.344572;-3583.328243
200.000000;0.039145;-2.469061;-3587.188605
201.000000;0.039057;-2.593682;-3591.017397
202.000000;0.038965;-2.718436;-3594.781734
203.000000;0.038868;-2.843319;-3598.447493
204.000000;0.038767;-2.968327;-3601.979370
205.000000;0.038662;-3.093454;-3605.340927
206.000000;0.038552;-3.218695;-3608.494650
207.000000;0.038438;-3.344041;-3611.402004
208.000000;0.038320;-3.469484;-3614.023489
209.000000;0.038198;-3.595011;-3616.318700
210.000000;0.038071;-3.720613;-3618.246388
211.000000;0.037939;-3.846274;-3619.764522
212.000000;0.037803;-3.971980;-3620.830353
213.000000;0.037663;-4.097715;-3621.400473
214.000000;0.037519;-4.223460;-3621.430891
215.000000;0.037370;-4.349196;-3620.877091
216.000000;0.037217;-4.474902;-3619.694101
217.000000;0.037059;-4.600556;-3617.836568
218.000000;0.036897;-4.726133;-3615.258819
219.000000;0.036731;-4.851607;-3611.914936
220.000000;0.036560;-4.976951;-3607.758828
221.000000;0.036385;-5.102136;-3602.744299
222.000000;0.036206;-5.227131;-3596.825122
223.000000;0.036022;-5.351904;-3589.955109
224.000000;0.035834;-5.476422;-3582.088188
225.000000;0.035642;-5.600648;-3573.178470
226.000000;0.035446;-5.724547;-3563.180328
227.000000;0.035245;-5.848078;-3552.048464
228.000000;0.035039;-5.971203;-3539.737985
229.000000;0.034830;-6.093879;-3526.204475
230.000000;0.034616;-6.216064;-3511.404066
231.000000;0.034398;-6.337712;-3495.293513
232.000000;0.034176;-6.458777;-3477.830261
233.000000;0.033950;-6.579211;-3458.972518
234.000000;0.033719;-6.698966;-3438.679326
235.000000;0.033485;-6.817991;-3416.910630
236.000000;0.033246;-6.936234;-3393.627344
237.000000;0.033003;-7.053642;-3368.791422
238.000000;0.032756;-7.170160;-3342.365923
239.000000;0.032505;-7.285732;-3314.315075
240.000000;0.032250;-7.400301;-3284.604345
241.000000;0.031991;-7.513810;-3253.200493
242.000000;0.031728;-7.626198;-3220.071641
243.000000;0.031461;-7.737406;-3185.187332
244.000000;0.031191;-7.847371;-3148.518585
245.000000;0.030917;-7.956032;-3110.037956
246.000000;0.030638;-8.063325;-3069.719591
247.000000;0.030357;-8.169185;-3027.539281
248.000000;0.030071;-8.273549;-2983.474514
249.000000;0.029782;-8.376349;-2937.504524
250.000000;0.029489;-8.477520;-2889.610339
251.000000;0.029193;-8.576994;-2839.774828
252.000000;0.028894;-8.674704;-2787.982743
253.000000;0.028591;-8.770581;-2734.220762
254.000000;0.028285;-8.864557;-2678.477530
255.000000;0.027975;-8.956563;-2620.743694
256.000000;0.027663;-9.046530;-2561.011937
257.000000;0.027347;-9.134388;-2499.277014
258.000000;0.027029;-9.220068;-2435.535780
259.000000;0.026707;-9.303499;-2369.787216
260.000000;0.026383;-9.384613;-2302.032459
261.000000;0.026055;-9.463340;-2232.274820
262.000000;0.025725;-9.539609;-2160.519808
263.000000;0.025393;-9.613353;-2086.775142
264.000000;0.025058;-9.684501;-2011.050773
265.000000;0.024720;-9.752986;-1933.358890
266.000000;0.024381;-9.818740;-1853.713934
267.000000;0.024039;-9.881694;-1772.132601
268.000000;0.023694;-9.941782;-1688.633850
269.000000;0.023348;-9.998938;-1603.238901
270.000000;0.023000;-10.053096;-1515.971236
271.000000;0.022650;-10.104193;-1426.856593
272.000000;0.022298;-10.152163;-1335.922962
273.000000;0.021945;-10.196944;-1243.200573
274.000000;0.021590;-10.238476;-1148.721882
275.000000;0.021234;-10.276697;-1052.521563
276.000000;0.020877;-10.311548;-954.636482
277.000000;0.020518;-10.342972;-855.105681
278.000000;0.020158;-10.370912;-753.970355
279.000000;0.019798;-10.395313;-651.273825
280.000000;0.019437;-10.416122;-547.061509
281.000000;0.019075;-10.433286;-441.380892
282.000000;0.018712;-10.446757;-334.281494
283.000000;0.018349;-10.456484;-225.814828
284.000000;0.017986;-10.462423;-116.034370
285.000000;0.017623;-10.464528;-4.995509
286.000000;0.017259;-10.462756;107.244489
287.000000;0.016896;-10.457067;220.626535
288.000000;0.016533;-10.447422;335.089757
289.000000;0.016171;-10.433785;450.571556
290.000000;0.015809;-10.416121;567.007657
291.000000;0.015447;-10.394399;684.332165
292.000000;0.015087;-10.368589;802.477622
293.000000;0.014727;-10.338663;921.375064
294.000000;0.014369;-10.304597;1040.954086
295.000000;0.014012;-10.266367;1161.142902
296.000000;0.013656;-10.223955;1281.868410
297.000000;0.013302;-10.177343;1403.056261
298.000000;0.012949;-10.126517;1524.630927
299.000000;0.012599;-10.071463;1646.515769
300.000000;0.012250;-10.012172;1768.633109
301.000000;0.011903;-9.948639;1890.904305
302.000000;0.011559;-9.880859;2013.249824
303.000000;0.011217;-9.808830;2135.589319
304.000000;0.010878;-9.732555;2257.841703
305.000000;0.010542;-9.652038;2379.925231
306.000000;0.010208;-9.567285;2501.757577
307.000000;0.009877;-9.478308;2623.255912
308.000000;0.009550;-9.385120;2744.336991
309.000000;0.009225;-9.287735;2864.917227
310.000000;0.008905;-9.186174;2984.912781
311.000000;0.008588;-9.080457;3104.239639
312.000000;0.008274;-8.970610;3222.813698
313.000000;0.007965;-8.856660;3340.550848
314.000000;0.007659;-8.738638;3457.367062
315.000000;0.007358;-8.616577;3573.178470
316.000000;0.007061;-8.490513;3687.901454
317.000000;0.006768;-8.360486;3801.452724
318.000000;0.006480;-8.226538;3913.749409
319.000000;0.006197;-8.088714;4024.709135
320.000000;0.005919;-7.947061;4134.250113
321.000000;0.005645;-7.801630;4242.291222
322.000000;0.005377;-7.652476;4348.752089
323.000000;0.005114;-7.499653;4453.553174
324.000000;0.004856;-7.343221;4556.615851
325.000000;0.004604;-7.183242;4657.862490
326.000000;0.004357;-7.019781;4757.216532
327.000000;0.004116;-6.852903;4854.602577
328.000000;0.003881;-6.682679;4949.946451
329.000000;0.003652;-6.509181;5043.175293
330.000000;0.003429;-6.332484;5134.217624
331.000000;0.003213;-6.152664;5223.003424
332.000000;0.003002;-5.969802;5309.464203
333.000000;0.002798;-5.783979;5393.533075
334.000000;0.002601;-5.595280;5475.144825
335.000000;0.002410;-5.403790;5554.235981
336.000000;0.002225;-5.209599;5630.744874
337.000000;0.002048;-5.012797;5704.611710
338.000000;0.001877;-4.813476;5775.778626
339.000000;0.001714;-4.611733;5844.189757
340.000000;0.001557;-4.407662;5909.791287
341.000000;0.001408;-4.201364;5972.531515
