# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6569.208689;5053.237453;1515.971236;0.000000;150.796447;-0.000000
1.000000;0.000004;0.000003;0.000001;0.228079;0.175451;0.052627;6567.577880;5052.467821;1515.047747;0.299986;150.775547;-1203.842251
2.000000;0.000016;0.000012;0.000004;0.456044;0.350848;0.105190;6562.686459;5050.159158;1512.278406;0.599889;150.712847;-2407.515715
3.000000;0.000036;0.000027;0.000008;0.683783;0.526138;0.157625;6554.537443;5046.312167;1507.666587;0.899626;150.608351;-3610.851222
4.000000;0.000063;0.000049;0.000015;0.911183;0.701269;0.209868;6543.135860;5040.928021;1501.217908;1.199113;150.462065;-4813.678839
5.000000;0.000099;0.000076;0.000023;1.138130;0.876185;0.261855;6528.488751;5034.008359;1492.940227;1.498268;150.273998;-6015.827484
6.000000;0.000142;0.000110;0.000033;1.364512;1.050835;0.313523;6510.605170;5025.555290;1482.843627;1.797007;150.044160;-7217.124553
7.000000;0.000194;0.000149;0.000045;1.590218;1.225164;0.364810;6489.496183;5015.571388;1470.940411;2.095247;149.772567;-8417.395539
8.000000;0.000253;0.000195;0.000058;1.815135;1.399121;0.415651;6465.174872;5004.059694;1457.245081;2.392905;149.459234;-9616.463661
9.000000;0.000320;0.000246;0.000073;2.039151;1.572651;0.465987;6437.656331;4991.023715;1441.774323;2.689898;149.104181;-10814.149491
10.000000;0.000394;0.000304;0.000090;2.262157;1.745702;0.515754;6406.957674;4976.467422;1424.546984;2.986144;148.707431;-12010.270592
11.000000;0.000477;0.000367;0.000109;2.484042;1.918221;0.564893;6373.098027;4960.395249;1405.584054;3.281559;148.269010;-13204.641158
12.000000;0.000567;0.000437;0.000130;2.704697;2.090156;0.613344;6336.098537;4942.812091;1384.908637;3.576060;147.788946;-14397.071653
13.000000;0.000665;0.000513;0.000152;2.924013;2.261455;0.661048;6295.982368;4923.723305;1362.545921;3.869565;147.267274;-15587.368471
14.000000;0.000770;0.000594;0.000176;3.141882;2.432064;0.707946;6252.774701;4903.134705;1338.523154;4.161990;146.704030;-16775.333590
15.000000;0.000883;0.000681;0.000201;3.358198;2.601933;0.753982;6206.502739;4881.052563;1312.869602;4.453254;146.099255;-17960.764237
16.000000;0.001003;0.000775;0.000228;3.572855;2.771009;0.799099;6157.195701;4857.483604;1285.616521;4.743273;145.452994;-19143.452569
17.000000;0.001131;0.000874;0.000256;3.785746;2.939241;0.843243;6104.884823;4832.435010;1256.797114;5.031966;144.765297;-20323.185353
18.000000;0.001266;0.000979;0.000286;3.996770;3.106578;0.886359;6049.603359;4805.914408;1226.446493;5.319249;144.036220;-21499.743663
19.000000;0.001408;0.001090;0.000318;4.205824;3.272968;0.928396;5991.386579;4777.929879;1194.601636;5.605040;143.265823;-22672.902586
20.000000;0.001558;0.001206;0.000351;4.412805;3.438362;0.969301;5930.271761;4748.489946;1161.301341;5.889258;142.454172;-23842.430938
21.000000;0.001715;0.001328;0.000385;4.617615;3.602708;1.009025;5866.298197;4717.603577;1126.586180;6.171820;141.601338;-25008.090996
