# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
==================================================================================================================================
|    0.0000 |       0.0000 |     0.0000 |     0.0000 |        0.0000 |      0.0000 |      0.0000 |     6569.2087 |   5053.2375 |   1515.9712 |
|    1.0000 |       0.0000 |     0.0000 |     0.0000 |        0.2281 |      0.1755 |      0.0526 |     6567.5779 |   5052.4678 |   1515.0477 |
|    2.0000 |       0.0000 |     0.0000 |     0.0000 |        0.4560 |      0.3508 |      0.1052 |     6562.6865 |   5050.1592 |   1512.2784 |
|    3.0000 |       0.0000 |     0.0000 |     0.0000 |        0.6838 |      0.5261 |      0.1576 |     6554.5374 |   5046.3122 |   1507.6666 |
|    4.0000 |       0.0001 |     0.0000 |     0.0000 |        0.9112 |      0.7013 |      0.2099 |     6543.1359 |   5040.9280 |   1501.2179 |
|    5.0000 |       0.0001 |     0.0001 |     0.0000 |        1.1381 |      0.8762 |      0.2619 |     6528.4888 |   5034.0084 |   1492.9402 |
|    6.0000 |       0.0001 |     0.0001 |     0.0000 |        1.3645 |      1.0508 |      0.3135 |     6510.6052 |   5025.5553 |   1482.8436 |
|    7.0000 |       0.0002 |     0.0001 |     0.0000 |        1.5902 |      1.2252 |      0.3648 |     6489.4962 |   5015.5714 |   1470.9404 |
|    8.0000 |       0.0003 |     0.0002 |     0.0001 |        1.8151 |      1.3991 |      0.4157 |     6465.1749 |   5004.0597 |   1457.2451 |
|    9.0000 |       0.0003 |     0.0002 |     0.0001 |        2.0392 |      1.5727 |      0.4660 |     6437.6563 |   4991.0237 |   1441.7743 |
|   10.0000 |       0.0004 |     0.0003 |     0.0001 |        2.2622 |      1.7457 |      0.5158 |     6406.9577 |   4976.4674 |   1424.5470 |
|   11.0000 |       0.0005 |     0.0004 |     0.0001 |        2.4840 |      1.9182 |      0.5649 |     6373.0980 |   4960.3952 |   1405.5841 |
|   12.0000 |       0.0006 |     0.0004 |     0.0001 |        2.7047 |      2.0902 |      0.6133 |     6336.0985 |   4942.8121 |   1384.9086 |
|   13.0000 |       0.0007 |     0.0005 |     0.0002 |        2.9240 |      2.2615 |      0.6610 |     6295.9824 |   4923.7233 |   1362.5459 |
|   14.0000 |       0.0008 |     0.0006 |     0.0002 |        3.1419 |      2.4321 |      0.7079 |     6252.7747 |   4903.1347 |   1338.5232 |
|   15.0000 |       0.0009 |     0.0007 |     0.0002 |        3.3582 |      2.6019 |      0.7540 |     6206.5027 |   4881.0526 |   1312.8696 |
|   16.0000 |       0.0010 |     0.0008 |     0.0002 |        3.5729 |      2.7710 |      0.7991 |     6157.1957 |   4857.4836 |   1285.6165 |
|   17.0000 |       0.0011 |     0.0009 |     0.0003 |        3.7857 |      2.9392 |      0.8432 |     6104.8848 |   4832.4350 |   1256.7971 |
|   18.0000 |       0.0013 |     0.0010 |     0.0003 |        3.9968 |      3.1066 |      0.8864 |     6049.6034 |   4805.9144 |   1226.4465 |
