# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 23:52:18 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
==================================================================================================================================
|    0.0000 |       0.0000 |     0.0000 |     0.0000 |        0.0000 |      0.0000 |      0.0000 |    33018.6115 |  25998.9067 |   7019.7048 |
|    1.0000 |       0.0000 |     0.0000 |     0.0000 |        0.9826 |      0.7737 |      0.2089 |    33010.6092 |  25994.9469 |   7015.4286 |
|    2.0000 |       0.0001 |     0.0000 |     0.0000 |        1.9648 |      1.5472 |      0.4175 |    32986.6075 |  25983.0689 |   7002.6052 |
|    3.0000 |       0.0001 |     0.0001 |     0.0000 |        2.9459 |      2.3203 |      0.6256 |    32946.6216 |  25963.2761 |   6981.2501 |
|    4.0000 |       0.0002 |     0.0002 |     0.0000 |        3.9257 |      3.0926 |      0.8330 |    32890.6767 |  25935.5747 |   6951.3895 |
|    5.0000 |       0.0004 |     0.0003 |     0.0001 |        4.9036 |      3.8640 |      1.0393 |    32818.8085 |  25899.9730 |   6913.0597 |
|    6.0000 |       0.0005 |     0.0004 |     0.0001 |        5.8791 |      4.6342 |      1.2444 |    32731.0624 |  25856.4820 |   6866.3074 |
|    7.0000 |       0.0007 |     0.0006 |     0.0002 |        6.8517 |      5.4030 |      1.4479 |    32627.4943 |  25805.1148 |   6811.1896 |
|    8.0000 |       0.0009 |     0.0007 |     0.0002 |        7.8210 |      6.1701 |      1.6497 |    32508.1700 |  25745.8871 |   6747.7733 |
|    9.0000 |       0.0012 |     0.0009 |     0.0002 |        8.7865 |      6.9354 |      1.8495 |    32373.1655 |  25678.8170 |   6676.1360 |
|   10.0000 |       0.0015 |     0.0011 |     0.0003 |        9.7478 |      7.6985 |      2.0470 |    32222.5667 |  25603.9249 |   6596.3648 |
|   11.0000 |       0.0018 |     0.0014 |     0.0004 |       10.7044 |      8.4594 |      2.2421 |    32056.4698 |  25521.2336 |   6508.5570 |
|   12.0000 |       0.0021 |     0.0017 |     0.0004 |       11.6558 |      9.2176 |      2.4344 |    31874.9810 |  25430.7682 |   6412.8194 |
