alpha_deg;P_Pa
0.0000;100000.0000
1.0000;100000.0000
2.0000;100000.0000
3.0000;100000.0000
4.0000;100000.0000
5.0000;100000.0000
6.0000;100000.0000
7.0000;100000.0000
8.0000;100000.0000
9.0000;100000.0000
10.0000;100000.0000
11.0000;100000.0000
12.0000;100000.0000
13.0000;100000.0000
14.0000;100000.0000
15.0000;100000.0000
16.0000;100000.0000
17.0000;100000.0000
18.0000;100000.0000
19.0000;100000.0000
20.0000;100000.0000
21.0000;100000.0000
22.0000;100000.0000
23.0000;100000.0000
24.0000;100000.0000
25.0000;100000.0000
26.0000;100000.0000
27.0000;100000.0000
28.0000;100000.0000
29.0000;100000.0000
30.0000;100000.0000
31.0000;100000.0000
32.0000;100000.0000
33.0000;100000.0000
34.0000;100000.0000
35.0000;100000.0000
36.0000;100000.0000
37.0000;100000.0000
38.0000;100000.0000
39.0000;100000.0000
40.0000;100000.0000
41.0000;100000.0000
42.0000;100000.0000
43.0000;100000.0000
44.0000;100000.0000
45.0000;100000.0000
46.0000;100000.0000
47.0000;100000.0000
48.0000;100000.0000
49.0000;100000.0000
50.0000;100000.0000
51.0000;100000.0000
52.0000;100000.0000
53.0000;100000.0000
54.0000;100000.0000
55.0000;100000.0000
56.0000;100000.0000
57.0000;100000.0000
58.0000;100000.0000
59.0000;100000.0000
60.0000;100000.0000
61.0000;100000.0000
62.0000;100000.0000
63.0000;100000.0000
64.0000;100000.0000
65.0000;100000.0000
66.0000;100000.0000
67.0000;100000.0000
68.0000;100000.0000
69.0000;100000.0000
70.0000;100000.0000
71.0000;100000.0000
72.0000;100000.0000
73.0000;100000.0000
74.0000;100000.0000
75.0000;100000.0000
76.0000;100000.0000
77.0000;100000.0000
78.0000;100000.0000
79.0000;100000.0000
80.0000;100000.0000
81.0000;100000.0000
82.0000;100000.0000
83.0000;100000.0000
84.0000;100000.0000
85.0000;100000.0000
86.0000;100000.0000
87.0000;100000.0000
88.0000;100000.0000
89.0000;100000.0000
90.0000;100000.0000
91.0000;100000.0000
92.0000;100000.0000
93.0000;100000.0000
94.0000;100000.0000
95.0000;100000.0000
96.0000;100000.0000
97.0000;100000.0000
98.0000;100000.0000
99.0000;100000.0000
100.0000;100000.0000
101.0000;100000.0000
102.0000;100000.0000
103.0000;100000.0000
104.0000;100000.0000
105.0000;100000.0000
106.0000;100000.0000
107.0000;100000.0000
108.0000;100000.0000
109.0000;100000.0000
110.0000;100000.0000
111.0000;100000.0000
112.0000;100000.0000
113.0000;100000.0000
114.0000;100000.0000
115.0000;100000.0000
116.0000;100000.0000
117.0000;100000.0000
118.0000;100000.0000
119.0000;100000.0000
120.0000;100000.0000
121.0000;100000.0000
122.0000;100000.0000
123.0000;100000.0000
124.0000;100000.0000
125.0000;100000.0000
126.0000;100000.0000
127.0000;100000.0000
128.0000;100000.0000
129.0000;100000.0000
130.0000;100000.0000
131.0000;100000.0000
132.0000;100000.0000
133.0000;100000.0000
134.0000;100000.0000
135.0000;100000.0000
136.0000;100000.0000
137.0000;100000.0000
138.0000;100000.0000
139.0000;100000.0000
140.0000;100000.0000
141.0000;100000.0000
142.0000;100000.0000
143.0000;100000.0000
144.0000;100000.0000
145.0000;100000.0000
146.0000;100000.0000
147.0000;100000.0000
148.0000;100000.0000
149.0000;100000.0000
150.0000;100000.0000
151.0000;100000.0000
152.0000;100000.0000
153.0000;100000.0000
154.0000;100000.0000
155.0000;100000.0000
156.0000;100000.0000
157.0000;100000.0000
158.0000;100000.0000
159.0000;100000.0000
160.0000;100000.0000
161.0000;100000.0000
162.0000;100000.0000
163.0000;100000.0000
164.0000;100000.0000
165.0000;100000.0000
166.0000;100000.0000
167.0000;100000.0000
168.0000;100000.0000
169.0000;100000.0000
170.0000;100000.0000
171.0000;100000.0000
172.0000;100000.0000
173.0000;100000.0000
174.0000;100000.0000
175.0000;100000.0000
176.0000;100000.0000
177.0000;100000.0000
178.0000;100000.0000
179.0000;100000.0000
180.0000;100000.0000
181.0000;101161.9440
182.0000;102337.3892
183.0000;103526.4924
184.0000;104729.4123
185.0000;105946.3094
186.0000;107177.3463
187.0000;108422.6870
188.0000;109682.4980
189.0000;110956.9472
190.0000;112246.2048
191.0000;113550.4429
192.0000;114869.8355
193.0000;116204.5587
194.0000;117554.7906
195.0000;118920.7115
196.0000;120302.5036
197.0000;121700.3514
198.0000;123114.4413
199.0000;124544.9622
200.0000;125992.1050
201.0000;127456.0627
202.0000;128937.0308
203.0000;130435.2070
204.0000;131950.7911
205.0000;133483.9854
206.0000;135034.9946
207.0000;136604.0257
208.0000;138191.2880
209.0000;139796.9934
210.0000;141421.3562
211.0000;143064.5932
212.0000;144726.9237
213.0000;146408.5696
214.0000;148109.7552
215.0000;149830.7077
216.0000;151571.6567
217.0000;153332.8345
218.0000;155114.4762
219.0000;156916.8196
220.0000;158740.1052
221.0000;160584.5764
222.0000;162450.4793
223.0000;164338.0629
224.0000;166247.5792
225.0000;168179.2831
226.0000;170133.4322
227.0000;172110.2874
228.0000;174110.1127
229.0000;176133.1747
230.0000;178179.7436
231.0000;180250.0925
232.0000;182344.4977
233.0000;184463.2387
234.0000;186606.5983
235.0000;188774.8625
236.0000;190968.3208
237.0000;193187.2658
238.0000;195431.9937
239.0000;197702.8041
