параметр;значение;ед.;описание
step_alpha;5;град.;шаг угла
end_alpha;360;град.;предельный угол
radcrank;0.02;м;радиус кривошипа
lyambda;0.3;-;геометрическая характеристика КШМ λ
diam_cyl;0.12;м;диаметр цилиндра
n;4800;об/мин;частота вращения коленвала
epsilent;17;-;степень сжатия ε
p_a;90000;Па;давление на впуске
p_r;110000;Па;давление на выпуске
n_1;1.38;-;показатель политропы сжатия
n_2;1.22;-;показатель политропы расширения
lymbda_z;2.0;-;степень повышения давления (Pz/Pc)
ro;1.4;-;степень предварительного расширения (Vz'/Vz)
tau;4;-;тактность (2 или 4)
