# Результаты расчёта индикаторной диаграммы P–V
# Дата: Sun Nov  2 15:20:22 2025
# --------------------------------------------
# Параметры расчёта:
# Радиус кривошипа r = 0.02 м
# Диаметр цилиндра D = 0.12 м
# Степень сжатия ε = 17
# λ = 0.3
# n1 = 1.38, n2 = 1.22
# Давления: Pa=90000 Па, Pr=110000 Па
# --------------------------------------------

V[м^3];P[Па]
0.000481;90000.000000
0.000480;90293.792270
0.000478;90589.242464
0.000477;90886.363900
0.000476;91185.170036
0.000475;91485.674471
0.000474;91787.890944
0.000473;92091.833343
0.000472;92397.515697
0.000470;92704.952188
0.000469;93014.157144
0.000468;93325.145049
0.000467;93637.930538
0.000466;93952.528403
0.000465;94268.953594
0.000464;94587.221222
0.000463;94907.346560
0.000461;95229.345045
0.000460;95553.232280
0.000459;95879.024039
0.000458;96206.736266
0.000457;96536.385077
0.000456;96867.986765
0.000455;97201.557802
0.000453;97537.114839
0.000452;97874.674710
0.000451;98214.254436
0.000450;98555.871223
0.000449;98899.542470
0.000448;99245.285769
0.000447;99593.118905
0.000446;99943.059865
0.000444;100295.126834
0.000443;100649.338203
0.000442;101005.712568
0.000441;101364.268736
0.000440;101725.025726
0.000439;102088.002771
0.000438;102453.219325
0.000436;102820.695061
0.000435;103190.449879
0.000434;103562.503903
0.000433;103936.877492
0.000432;104313.591237
0.000431;104692.665966
0.000430;105074.122750
0.000429;105457.982902
0.000427;105844.267985
0.000426;106232.999812
0.000425;106624.200450
0.000424;107017.892227
0.000423;107414.097732
0.000422;107812.839819
0.000421;108214.141615
0.000419;108618.026518
0.000418;109024.518206
0.000417;109433.640638
0.000416;109845.418058
0.000415;110259.875004
0.000414;110677.036304
0.000413;111096.927089
0.000412;111519.572791
0.000410;111944.999151
0.000409;112373.232221
0.000408;112804.298372
0.000407;113238.224297
0.000406;113675.037015
0.000405;114114.763876
0.000404;114557.432568
0.000402;115003.071121
0.000401;115451.707910
0.000400;115903.371666
0.000399;116358.091474
0.000398;116815.896784
0.000397;117276.817415
0.000396;117740.883560
0.000394;118208.125793
0.000393;118678.575072
0.000392;119152.262751
0.000391;119629.220578
0.000390;120109.480709
0.000389;120593.075709
0.000388;121080.038561
0.000387;121570.402672
0.000385;122064.201880
0.000384;122561.470460
0.000383;123062.243131
0.000382;123566.555064
0.000381;124074.441891
0.000380;124585.939706
0.000379;125101.085080
0.000377;125619.915064
0.000376;126142.467199
0.000375;126668.779522
0.000374;127198.890576
0.000373;127732.839417
0.000372;128270.665625
0.000371;128812.409307
0.000370;129358.111113
0.000368;129907.812238
0.000367;130461.554436
