V,P
0.00124407,90000
0.00124217,90190.4
0.00124026,90381.5
0.00123836,90573.3
0.00123646,90765.8
0.00123455,90959.1
0.00123265,91153
0.00123074,91347.6
0.00122884,91543
0.00122694,91739.1
0.00122503,91935.9
0.00122313,92133.4
0.00122122,92331.7
0.00121932,92530.7
0.00121742,92730.5
0.00121551,92930.9
0.00121361,93132.2
0.00121171,93334.2
0.0012098,93536.9
0.0012079,93740.4
0.00120599,93944.7
0.00120409,94149.8
0.00120219,94355.6
0.00120028,94562.2
0.00119838,94769.6
0.00119647,94977.7
0.00119457,95186.7
0.00119267,95396.4
0.00119076,95607
0.00118886,95818.3
0.00118696,96030.5
0.00118505,96243.5
0.00118315,96457.2
0.00118124,96671.8
0.00117934,96887.3
0.00117744,97103.5
0.00117553,97320.6
0.00117363,97538.5
0.00117172,97757.3
0.00116982,97976.9
0.00116792,98197.4
0.00116601,98418.7
0.00116411,98640.9
0.00116221,98864
0.0011603,99087.9
0.0011584,99312.7
0.00115649,99538.4
0.00115459,99765
0.00115269,99992.4
0.00115078,100221
0.00114888,100450
0.00114698,100680
0.00114507,100911
0.00114317,101143
0.00114126,101376
0.00113936,101610
0.00113746,101845
0.00113555,102081
0.00113365,102317
0.00113174,102555
0.00112984,102793
0.00112794,103033
0.00112603,103273
0.00112413,103515
0.00112223,103757
0.00112032,104001
0.00111842,104245
0.00111651,104490
0.00111461,104737
0.00111271,104984
0.0011108,105233
0.0011089,105482
0.00110699,105732
0.00110509,105984
0.00110319,106236
0.00110128,106490
0.00109938,106744
0.00109748,107000
0.00109557,107257
0.00109367,107514
0.00109176,107773
0.00108986,108033
0.00108796,108294
0.00108605,108556
0.00108415,108819
0.00108224,109084
0.00108034,109349
0.00107844,109615
0.00107653,109883
0.00107463,110152
0.00107273,110422
0.00107082,110693
0.00106892,110965
0.00106701,111238
0.00106511,111513
0.00106321,111788
0.0010613,112065
0.0010594,112343
0.00105749,112622
0.00105559,112903
0.00105369,113184
0.00105178,113467
0.00104988,113751
0.00104798,114037
0.00104607,114323
0.00104417,114611
