param,value
diam_cyl,0.13000000
stroke,0.11000000
epsilent,12.00000000
p_a,90000.00000000
p_r,110000.00000000
n_1,1.38000000
n_2,1.22000000
lymbda_z,2.00000000
ro,1.35000000
lyambda,0.33333330
n,3200.00000000
m_pd,145.00000000
r,0.05500000
leng_rod,0.16700000
m_rod,145.00000000
m_2,96.66000000
w,335.10300000
tau,4.00000000
count_cyl,2.00000000
gamma,180.00000000
diam_root_neck,0.09800000
diam_rod_neck,0.09100000
length_rod_neck,0.04600000
length_root_neck,0.06400000
depth_web,0.03900000
fillet_rad,0.00312000
width_web,0.10400000
dist_axes,0.08500000
dist_web,0.26525000
rho_material,7810.00000000
config_crankshaft,2.00000000
config_prot,3.00000000
depth_prot,0.05000000
r_prot1,0.05200000
r_prot2,0.10000000
