alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
0,855.299,-13949,-13093.7,0,-13093.7,-0,-13093.7,-0,-0,13343.7
0.5,855.299,-13948.1,-13092.8,0.00290885,-13092.9,-38.0851,-13092,-152.338,-9.1403,13342.8
1,855.299,-13945.3,-13090,0.0058175,-13090.2,-76.1517,-13086.6,-304.591,-18.2755,13340.1
1.5,855.299,-13940.5,-13085.2,0.00872576,-13085.7,-114.182,-13077.8,-456.674,-27.4004,13335.6
2,855.299,-13933.9,-13078.6,0.0116334,-13079.5,-152.156,-13065.4,-608.501,-36.5101,13329.3
2.5,855.299,-13925.4,-13070.1,0.0145403,-13071.5,-190.057,-13049.4,-759.988,-45.5993,13321.1
3,855.299,-13915.1,-13059.8,0.0174462,-13061.8,-227.866,-13029.9,-911.05,-54.663,13311.2
3.5,855.299,-13902.8,-13047.5,0.0203509,-13050.2,-265.565,-13007,-1061.6,-63.6961,13299.5
4,855.299,-13888.7,-13033.4,0.0232543,-13036.9,-303.136,-12980.5,-1211.56,-72.6936,13286
4.5,855.299,-13872.7,-13017.4,0.026156,-13021.8,-340.56,-12950.5,-1360.84,-81.6504,13270.6
5,855.299,-13854.8,-12999.5,0.029056,-13005,-377.819,-12917.1,-1509.36,-90.5616,13253.5
5.5,855.299,-13835,-12979.7,0.031954,-12986.4,-414.895,-12880.2,-1657.04,-99.4222,13234.6
6,855.299,-13813.4,-12958.1,0.0348499,-12966,-451.771,-12839.9,-1803.79,-108.227,13213.9
6.5,855.299,-13789.9,-12934.6,0.0377434,-12943.8,-488.428,-12796.2,-1949.53,-116.972,13191.5
7,855.299,-13764.6,-12909.3,0.0406343,-12919.9,-524.849,-12749.1,-2094.18,-125.651,13167.3
7.5,855.299,-13737.4,-12882.1,0.0435225,-12894.3,-561.015,-12698.7,-2237.67,-134.26,13141.2
8,855.299,-13708.4,-12853.1,0.0464077,-12866.9,-596.91,-12644.9,-2379.9,-142.794,13113.5
8.5,855.299,-13677.5,-12822.2,0.0492898,-12837.8,-632.515,-12587.9,-2520.81,-151.249,13083.9
9,855.299,-13644.8,-12789.5,0.0521685,-12806.9,-667.814,-12527.6,-2660.31,-159.619,13052.7
9.5,855.299,-13610.3,-12755,0.0550437,-12774.3,-702.789,-12464,-2798.33,-167.9,13019.6
10,855.299,-13573.9,-12718.6,0.0579151,-12740,-737.424,-12397.3,-2934.78,-176.087,12984.9
10.5,855.299,-13535.7,-12680.4,0.0607826,-12703.9,-771.701,-12327.5,-3069.61,-184.176,12948.3
11,855.299,-13495.8,-12640.5,0.063646,-12666.1,-805.604,-12254.5,-3202.72,-192.163,12910.1
11.5,855.299,-13454,-12598.7,0.066505,-12626.6,-839.115,-12178.5,-3334.05,-200.043,12870.2
12,855.299,-13410.5,-12555.2,0.0693595,-12585.4,-872.219,-12099.5,-3463.53,-207.812,12828.5
12.5,855.299,-13365.1,-12509.8,0.0722093,-12542.5,-904.9,-12017.5,-3591.08,-215.465,12785.1
13,855.299,-13318,-12462.7,0.0750541,-12497.9,-937.141,-11932.5,-3716.63,-222.998,12740.1
13.5,855.299,-13269.2,-12413.9,0.0778939,-12451.6,-968.926,-11844.7,-3840.12,-230.407,12693.4
14,855.299,-13218.6,-12363.3,0.0807283,-12403.7,-1000.24,-11754.1,-3961.48,-237.689,12644.9
