alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
0,1194.59,-15897.1,-14702.5,0,-14702.5,-0,-14702.5,-0,-0,8259.85
0.5,1194.59,-15896,-14701.4,0.00290885,-14701.4,-42.7642,-14700.5,-171.055,-9.40801,8259.29
1,1194.59,-15892.7,-14698.1,0.0058175,-14698.4,-85.5074,-14694.4,-342.012,-18.8107,8257.6
1.5,1194.59,-15887.3,-14692.7,0.00872576,-14693.3,-128.209,-14684.4,-512.776,-28.2027,8254.8
2,1194.59,-15879.8,-14685.2,0.0116334,-14686.2,-170.847,-14670.3,-683.248,-37.5786,8250.87
2.5,1194.59,-15870.1,-14675.5,0.0145403,-14677,-213.401,-14652.2,-853.333,-46.9333,8245.82
3,1194.59,-15858.2,-14663.6,0.0174462,-14665.8,-255.85,-14630.1,-1022.93,-56.2613,8239.65
3.5,1194.59,-15844.2,-14649.6,0.0203509,-14652.6,-298.173,-14604,-1191.95,-65.5574,8232.37
4,1194.59,-15828,-14633.4,0.0232543,-14637.4,-340.35,-14574,-1360.3,-74.8162,8223.96
4.5,1194.59,-15809.7,-14615.1,0.026156,-14620.1,-382.359,-14540,-1527.87,-84.0326,8214.44
5,1194.59,-15789.2,-14594.6,0.029056,-14600.8,-424.18,-14502.1,-1694.57,-93.2014,8203.81
5.5,1194.59,-15766.6,-14572,0.031954,-14579.5,-465.793,-14460.3,-1860.31,-102.317,8192.07
6,1194.59,-15741.9,-14547.3,0.0348499,-14556.1,-507.176,-14414.6,-2025,-111.375,8179.21
6.5,1194.59,-15715,-14520.4,0.0377434,-14530.8,-548.309,-14365,-2188.54,-120.37,8165.25
7,1194.59,-15686,-14491.4,0.0406343,-14503.4,-589.173,-14311.6,-2350.84,-129.296,8150.19
7.5,1194.59,-15654.9,-14460.3,0.0435225,-14474,-629.746,-14254.4,-2511.81,-138.149,8134.03
8,1194.59,-15621.7,-14427.1,0.0464077,-14442.6,-670.009,-14193.4,-2671.35,-146.924,8116.77
