V,P
0.00124407,90000
0.00124121,90286.1
0.00123835,90573.8
0.0012355,90863.1
0.00123264,91154
0.00122978,91446.4
0.00122692,91740.6
0.00122406,92036.3
0.00122121,92333.7
0.00121835,92632.7
0.00121549,92933.5
0.00121263,93235.9
0.00120977,93540
0.00120691,93845.8
0.00120406,94153.4
0.0012012,94462.7
0.00119834,94773.7
0.00119548,95086.6
0.00119262,95401.2
0.00118977,95717.6
0.00118691,96035.8
0.00118405,96355.9
0.00118119,96677.8
0.00117833,97001.5
0.00117548,97327.2
0.00117262,97654.7
0.00116976,97984.1
0.0011669,98315.5
0.00116404,98648.7
0.00116118,98984
0.00115833,99321.2
0.00115547,99660.4
0.00115261,100002
0.00114975,100345
0.00114689,100690
0.00114404,101037
0.00114118,101387
0.00113832,101738
0.00113546,102092
0.0011326,102447
0.00112975,102805
0.00112689,103165
0.00112403,103528
0.00112117,103892
0.00111831,104259
0.00111545,104627
0.0011126,104998
0.00110974,105372
0.00110688,105747
0.00110402,106125
0.00110116,106506
0.00109831,106888
0.00109545,107273
0.00109259,107661
0.00108973,108051
0.00108687,108443
0.00108401,108838
0.00108116,109235
0.0010783,109635
0.00107544,110037
0.00107258,110442
0.00106972,110849
0.00106687,111259
0.00106401,111672
0.00106115,112087
0.00105829,112505
0.00105543,112926
0.00105258,113349
0.00104972,113776
0.00104686,114204
0.001044,114636
0.00104114,115071
0.00103828,115508
0.00103543,115948
0.00103257,116391
0.00102971,116837
0.00102685,117286
0.00102399,117738
0.00102114,118193
0.00101828,118652
0.00101542,119113
0.00101256,119577
0.0010097,120044
0.00100685,120515
0.00100399,120988
0.00100113,121465
0.000998271,121946
0.000995412,122429
0.000992554,122916
0.000989696,123406
0.000986838,123899
0.00098398,124396
0.000981122,124897
0.000978264,125401
0.000975405,125908
0.000972547,126419
0.000969689,126933
0.000966831,127451
0.000963973,127973
0.000961115,128499
0.000958257,129028
0.000955398,129561
0.00095254,130098
0.000949682,130638
0.000946824,131183
0.000943966,131731
0.000941108,132284
0.00093825,132840
0.000935391,133401
0.000932533,133965
0.000929675,134534
0.000926817,135107
0.000923959,135684
0.000921101,136265
0.000918243,136851
0.000915385,137441
0.000912526,138035
0.000909668,138634
0.00090681,139237
0.000903952,139845
0.000901094,140458
0.000898236,141075
0.000895378,141697
0.000892519,142323
0.000889661,142955
0.000886803,143591
0.000883945,144232
0.000881087,144878
0.000878229,145529
0.000875371,146185
0.000872512,146847
0.000869654,147513
0.000866796,148185
0.000863938,148862
0.00086108,149544
0.000858222,150232
0.000855364,150925
0.000852505,151624
0.000849647,152328
0.000846789,153038
0.000843931,153754
