V,P
0.00124407,100000
0.00124217,100215
0.00124026,100430
0.00123836,100646
0.00123646,100863
0.00123455,101081
0.00123265,101300
0.00123074,101519
0.00122884,101740
0.00122694,101961
0.00122503,102182
0.00122313,102405
0.00122122,102629
0.00121932,102853
0.00121742,103078
0.00121551,103305
0.00121361,103532
0.00121171,103759
0.0012098,103988
0.0012079,104218
0.00120599,104448
0.00120409,104679
0.00120219,104911
0.00120028,105144
0.00119838,105378
0.00119647,105613
0.00119457,105849
0.00119267,106086
0.00119076,106323
0.00118886,106562
0.00118696,106801
0.00118505,107041
0.00118315,107282
0.00118124,107525
0.00117934,107768
0.00117744,108012
0.00117553,108257
0.00117363,108503
0.00117172,108749
0.00116982,108997
0.00116792,109246
0.00116601,109496
0.00116411,109747
0.00116221,109999
0.0011603,110251
0.0011584,110505
0.00115649,110760
0.00115459,111016
0.00115269,111272
0.00115078,111530
0.00114888,111789
0.00114698,112049
0.00114507,112310
0.00114317,112572
0.00114126,112835
0.00113936,113099
0.00113746,113364
0.00113555,113630
0.00113365,113897
0.00113174,114166
0.00112984,114435
0.00112794,114706
0.00112603,114977
0.00112413,115250
0.00112223,115524
0.00112032,115799
0.00111842,116075
0.00111651,116352
0.00111461,116630
0.00111271,116910
0.0011108,117190
0.0011089,117472
0.00110699,117755
0.00110509,118039
0.00110319,118324
0.00110128,118611
0.00109938,118899
0.00109748,119187
0.00109557,119477
0.00109367,119769
0.00109176,120061
0.00108986,120355
0.00108796,120650
0.00108605,120946
0.00108415,121244
0.00108224,121542
0.00108034,121842
0.00107844,122144
0.00107653,122446
0.00107463,122750
0.00107273,123055
0.00107082,123361
0.00106892,123669
0.00106701,123978
0.00106511,124288
0.00106321,124600
0.0010613,124913
0.0010594,125228
0.00105749,125543
0.00105559,125860
0.00105369,126179
0.00105178,126499
0.00104988,126820
0.00104798,127143
0.00104607,127467
0.00104417,127792
0.00104226,128119
0.00104036,128448
0.00103846,128777
0.00103655,129109
0.00103465,129441
0.00103274,129776
0.00103084,130111
0.00102894,130448
0.00102703,130787
0.00102513,131127
0.00102323,131469
0.00102132,131812
0.00101942,132157
0.00101751,132503
0.00101561,132851
0.00101371,133201
0.0010118,133552
0.0010099,133904
0.00100799,134258
0.00100609,134614
0.00100419,134972
0.00100228,135331
0.00100038,135691
0.000998476,136054
0.000996572,136418
0.000994668,136783
0.000992764,137151
0.00099086,137520
0.000988957,137891
0.000987053,138263
0.000985149,138637
0.000983245,139013
0.000981341,139391
0.000979437,139771
0.000977534,140152
0.00097563,140535
0.000973726,140920
0.000971822,141306
0.000969918,141695
0.000968014,142085
0.000966111,142477
0.000964207,142871
0.000962303,143267
0.000960399,143665
0.000958495,144065
0.000956591,144466
0.000954688,144870
0.000952784,145275
0.00095088,145682
0.000948976,146092
0.000947072,146503
0.000945168,146916
0.000943265,147332
0.000941361,147749
0.000939457,148168
0.000937553,148590
0.000935649,149013
0.000933745,149439
0.000931841,149866
0.000929938,150296
0.000928034,150728
0.00092613,151162
0.000924226,151598
0.000922322,152036
0.000920418,152477
0.000918515,152919
0.000916611,153364
0.000914707,153811
0.000912803,154261
0.000910899,154712
0.000908995,155166
0.000907092,155622
0.000905188,156081
0.000903284,156541
0.00090138,157004
0.000899476,157470
0.000897572,157938
0.000895669,158408
0.000893765,158880
0.000891861,159356
0.000889957,159833
0.000888053,160313
0.000886149,160795
0.000884246,161280
0.000882342,161768
0.000880438,162258
0.000878534,162750
0.00087663,163245
0.000874726,163743
0.000872823,164243
0.000870919,164746
0.000869015,165251
0.000867111,165760
0.000865207,166270
0.000863303,166784
0.0008614,167300
0.000859496,167819
0.000857592,168341
