alpha_deg,P,V
0,90000,0.000103673
0.5,90000,0.000103702
1,90000,0.000103788
1.5,90000,0.000103933
2,90000,0.000104136
2.5,90000,0.000104396
3,90000,0.000104714
3.5,90000,0.00010509
4,90000,0.000105524
4.5,90000,0.000106015
5,90000,0.000106564
5.5,90000,0.000107171
6,90000,0.000107835
6.5,90000,0.000108556
7,90000,0.000109335
7.5,90000,0.000110171
8,90000,0.000111063
8.5,90000,0.000112013
9,90000,0.00011302
9.5,90000,0.000114083
10,90000,0.000115203
10.5,90000,0.00011638
11,90000,0.000117612
11.5,90000,0.000118901
12,90000,0.000120246
12.5,90000,0.000121646
13,90000,0.000123102
13.5,90000,0.000124614
14,90000,0.000126181
14.5,90000,0.000127803
15,90000,0.00012948
15.5,90000,0.000131211
16,90000,0.000132997
16.5,90000,0.000134837
17,90000,0.00013673
17.5,90000,0.000138678
18,90000,0.000140679
18.5,90000,0.000142733
19,90000,0.000144841
19.5,90000,0.000147001
20,90000,0.000149213
20.5,90000,0.000151477
21,90000,0.000153794
21.5,90000,0.000156162
22,90000,0.000158581
22.5,90000,0.000161051
23,90000,0.000163571
23.5,90000,0.000166143
24,90000,0.000168764
24.5,90000,0.000171434
25,90000,0.000174154
25.5,90000,0.000176923
26,90000,0.000179741
26.5,90000,0.000182607
27,90000,0.000185521
27.5,90000,0.000188483
28,90000,0.000191491
28.5,90000,0.000194547
29,90000,0.000197649
29.5,90000,0.000200797
30,90000,0.00020399
30.5,90000,0.000207229
31,90000,0.000210513
31.5,90000,0.000213841
32,90000,0.000217214
32.5,90000,0.000220629
33,90000,0.000224088
33.5,90000,0.00022759
34,90000,0.000231134
34.5,90000,0.00023472
35,90000,0.000238348
35.5,90000,0.000242016
36,90000,0.000245725
36.5,90000,0.000249474
37,90000,0.000253263
37.5,90000,0.000257091
38,90000,0.000260957
38.5,90000,0.000264862
39,90000,0.000268804
39.5,90000,0.000272784
40,90000,0.000276801
40.5,90000,0.000280853
41,90000,0.000284942
41.5,90000,0.000289065
42,90000,0.000293224
42.5,90000,0.000297416
43,90000,0.000301643
43.5,90000,0.000305902
44,90000,0.000310195
44.5,90000,0.000314519
45,90000,0.000318876
45.5,90000,0.000323263
46,90000,0.000327681
46.5,90000,0.000332129
47,90000,0.000336607
47.5,90000,0.000341113
48,90000,0.000345648
48.5,90000,0.000350211
49,90000,0.000354802
49.5,90000,0.000359419
50,90000,0.000364062
50.5,90000,0.000368732
51,90000,0.000373426
51.5,90000,0.000378145
52,90000,0.000382889
52.5,90000,0.000387655
53,90000,0.000392445
53.5,90000,0.000397257
54,90000,0.000402091
54.5,90000,0.000406946
55,90000,0.000411822
55.5,90000,0.000416718
56,90000,0.000421634
56.5,90000,0.000426569
57,90000,0.000431522
57.5,90000,0.000436493
58,90000,0.000441481
58.5,90000,0.000446487
59,90000,0.000451508
59.5,90000,0.000456545
60,90000,0.000461597
60.5,90000,0.000466664
61,90000,0.000471744
61.5,90000,0.000476838
62,90000,0.000481945
62.5,90000,0.000487064
63,90000,0.000492194
63.5,90000,0.000497336
64,90000,0.000502488
64.5,90000,0.00050765
65,90000,0.000512822
65.5,90000,0.000518003
66,90000,0.000523191
66.5,90000,0.000528388
67,90000,0.000533592
67.5,90000,0.000538802
68,90000,0.000544018
68.5,90000,0.000549241
69,90000,0.000554468
69.5,90000,0.000559699
70,90000,0.000564934
70.5,90000,0.000570173
71,90000,0.000575415
71.5,90000,0.000580659
72,90000,0.000585904
72.5,90000,0.000591151
73,90000,0.000596399
73.5,90000,0.000601647
74,90000,0.000606894
74.5,90000,0.000612141
75,90000,0.000617386
75.5,90000,0.000622629
76,90000,0.00062787
76.5,90000,0.000633108
77,90000,0.000638343
77.5,90000,0.000643574
78,90000,0.0006488
78.5,90000,0.000654021
79,90000,0.000659237
79.5,90000,0.000664448
80,90000,0.000669652
80.5,90000,0.000674849
81,90000,0.000680039
81.5,90000,0.000685221
82,90000,0.000690395
82.5,90000,0.00069556
83,90000,0.000700716
83.5,90000,0.000705863
84,90000,0.000710999
84.5,90000,0.000716125
85,90000,0.000721241
85.5,90000,0.000726345
86,90000,0.000731437
86.5,90000,0.000736517
87,90000,0.000741584
87.5,90000,0.000746639
88,90000,0.00075168
88.5,90000,0.000756707
89,90000,0.00076172
89.5,90000,0.000766719
90,90000,0.000771702
90.5,90000,0.00077667
91,90000,0.000781623
91.5,90000,0.000786559
92,90000,0.000791479
92.5,90000,0.000796382
93,90000,0.000801268
93.5,90000,0.000806136
94,90000,0.000810987
94.5,90000,0.000815819
95,90000,0.000820633
95.5,90000,0.000825428
96,90000,0.000830203
96.5,90000,0.000834959
97,90000,0.000839696
97.5,90000,0.000844412
98,90000,0.000849107
98.5,90000,0.000853782
99,90000,0.000858436
99.5,90000,0.000863069
100,90000,0.00086768
100.5,90000,0.000872269
101,90000,0.000876836
101.5,90000,0.00088138
102,90000,0.000885902
102.5,90000,0.000890401
103,90000,0.000894877
103.5,90000,0.000899329
104,90000,0.000903757
104.5,90000,0.000908162
105,90000,0.000912543
105.5,90000,0.000916899
106,90000,0.00092123
106.5,90000,0.000925537
107,90000,0.000929819
107.5,90000,0.000934076
108,90000,0.000938307
108.5,90000,0.000942512
109,90000,0.000946692
109.5,90000,0.000950846
110,90000,0.000954974
110.5,90000,0.000959075
111,90000,0.00096315
111.5,90000,0.000967198
112,90000,0.000971219
112.5,90000,0.000975213
113,90000,0.000979181
113.5,90000,0.000983121
114,90000,0.000987033
114.5,90000,0.000990918
115,90000,0.000994775
115.5,90000,0.000998604
116,90000,0.00100241
116.5,90000,0.00100618
117,90000,0.00100992
117.5,90000,0.00101364
118,90000,0.00101733
118.5,90000,0.00102099
119,90000,0.00102462
119.5,90000,0.00102822
120,90000,0.0010318
120.5,90000,0.00103534
121,90000,0.00103886
121.5,90000,0.00104234
122,90000,0.0010458
122.5,90000,0.00104923
123,90000,0.00105263
123.5,90000,0.001056
124,90000,0.00105934
124.5,90000,0.00106265
125,90000,0.00106593
125.5,90000,0.00106918
126,90000,0.0010724
126.5,90000,0.00107559
127,90000,0.00107875
127.5,90000,0.00108189
128,90000,0.00108499
128.5,90000,0.00108806
129,90000,0.0010911
129.5,90000,0.00109411
130,90000,0.0010971
130.5,90000,0.00110005
131,90000,0.00110297
131.5,90000,0.00110586
132,90000,0.00110872
132.5,90000,0.00111155
133,90000,0.00111436
133.5,90000,0.00111713
134,90000,0.00111987
134.5,90000,0.00112258
135,90000,0.00112526
135.5,90000,0.00112791
136,90000,0.00113053
136.5,90000,0.00113312
137,90000,0.00113568
137.5,90000,0.00113821
138,90000,0.0011407
138.5,90000,0.00114317
139,90000,0.00114561
139.5,90000,0.00114802
140,90000,0.0011504
140.5,90000,0.00115274
141,90000,0.00115506
141.5,90000,0.00115735
142,90000,0.0011596
142.5,90000,0.00116183
143,90000,0.00116403
143.5,90000,0.00116619
144,90000,0.00116833
144.5,90000,0.00117043
145,90000,0.00117251
145.5,90000,0.00117455
146,90000,0.00117657
146.5,90000,0.00117855
147,90000,0.00118051
147.5,90000,0.00118243
148,90000,0.00118433
148.5,90000,0.00118619
149,90000,0.00118803
149.5,90000,0.00118983
150,90000,0.0011916
150.5,90000,0.00119335
151,90000,0.00119506
151.5,90000,0.00119675
152,90000,0.0011984
152.5,90000,0.00120003
153,90000,0.00120162
153.5,90000,0.00120319
154,90000,0.00120472
154.5,90000,0.00120623
155,90000,0.00120771
155.5,90000,0.00120915
156,90000,0.00121057
156.5,90000,0.00121196
157,90000,0.00121331
157.5,90000,0.00121464
158,90000,0.00121594
158.5,90000,0.00121721
159,90000,0.00121845
159.5,90000,0.00121966
160,90000,0.00122084
160.5,90000,0.00122199
161,90000,0.00122311
161.5,90000,0.0012242
162,90000,0.00122526
162.5,90000,0.0012263
163,90000,0.0012273
163.5,90000,0.00122827
164,90000,0.00122922
164.5,90000,0.00123013
165,90000,0.00123102
165.5,90000,0.00123188
166,90000,0.0012327
166.5,90000,0.0012335
167,90000,0.00123427
167.5,90000,0.00123501
168,90000,0.00123572
168.5,90000,0.00123641
169,90000,0.00123706
169.5,90000,0.00123768
170,90000,0.00123828
170.5,90000,0.00123884
171,90000,0.00123938
171.5,90000,0.00123989
172,90000,0.00124036
172.5,90000,0.00124081
173,90000,0.00124123
173.5,90000,0.00124162
174,90000,0.00124199
174.5,90000,0.00124232
175,90000,0.00124262
175.5,90000,0.0012429
176,90000,0.00124314
176.5,90000,0.00124336
177,90000,0.00124355
177.5,90000,0.00124371
178,90000,0.00124384
178.5,90000,0.00124394
179,90000,0.00124401
179.5,90000,0.00124406
180,90000,0.00124407
180.5,90001.4,0.00124406
181,90005.8,0.00124401
181.5,90013,0.00124394
182,90023.1,0.00124384
182.5,90036.1,0.00124371
183,90052.1,0.00124355
183.5,90070.9,0.00124336
184,90092.6,0.00124314
184.5,90117.2,0.0012429
185,90144.7,0.00124262
185.5,90175.2,0.00124232
186,90208.6,0.00124199
186.5,90244.9,0.00124162
187,90284.1,0.00124123
187.5,90326.3,0.00124081
188,90371.4,0.00124036
188.5,90419.5,0.00123989
189,90470.6,0.00123938
189.5,90524.7,0.00123884
190,90581.7,0.00123828
190.5,90641.8,0.00123768
191,90704.8,0.00123706
191.5,90770.9,0.00123641
192,90840,0.00123572
192.5,90912.2,0.00123501
193,90987.5,0.00123427
193.5,91065.8,0.0012335
194,91147.2,0.0012327
194.5,91231.7,0.00123188
195,91319.4,0.00123102
195.5,91410.2,0.00123013
196,91504.2,0.00122922
196.5,91601.3,0.00122827
197,91701.7,0.0012273
197.5,91805.3,0.0012263
198,91912.1,0.00122526
198.5,92022.2,0.0012242
199,92135.5,0.00122311
199.5,92252.2,0.00122199
200,92372.2,0.00122084
200.5,92495.6,0.00121966
201,92622.3,0.00121845
201.5,92752.4,0.00121721
202,92886,0.00121594
202.5,93023,0.00121464
203,93163.5,0.00121331
203.5,93307.5,0.00121196
204,93455.1,0.00121057
204.5,93606.2,0.00120915
205,93761,0.00120771
205.5,93919.4,0.00120623
206,94081.4,0.00120472
206.5,94247.1,0.00120319
207,94416.6,0.00120162
207.5,94589.9,0.00120003
208,94766.9,0.0011984
208.5,94947.8,0.00119675
209,95132.6,0.00119506
209.5,95321.2,0.00119335
210,95513.9,0.0011916
210.5,95710.5,0.00118983
211,95911.2,0.00118803
