alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
0,-0,-82.7386,0
0.5,-7.53339,-90.272,-0.754901
1,-15.0624,-97.801,-1.57552
1.5,-22.5827,-105.321,-2.46181
2,-30.0898,-112.828,-3.41367
2.5,-37.5795,-120.318,-4.43096
3,-45.0474,-127.786,-5.51352
3.5,-52.4891,-135.228,-6.66113
4,-59.9003,-142.639,-7.87356
4.5,-67.2768,-150.015,-9.1505
5,-74.6142,-157.353,-10.4916
5.5,-81.9083,-164.647,-11.8966
6,-89.1549,-171.893,-13.3651
6.5,-96.3498,-179.088,-14.8965
7,-103.489,-186.227,-16.4905
7.5,-110.568,-193.306,-18.1465
8,-117.583,-200.321,-19.8641
8.5,-124.53,-207.268,-21.6425
9,-131.404,-214.143,-23.4813
9.5,-138.203,-220.941,-25.3797
10,-144.921,-227.66,-27.3371
10.5,-151.556,-234.295,-29.3527
11,-158.103,-240.842,-31.4259
11.5,-164.559,-247.297,-33.5558
12,-170.919,-253.658,-35.7416
12.5,-177.181,-259.92,-37.9825
13,-183.341,-266.079,-40.2777
13.5,-189.395,-272.133,-42.626
14,-195.339,-278.078,-45.0268
14.5,-201.171,-283.91,-47.4789
15,-206.887,-289.626,-49.9814
15.5,-212.484,-295.223,-52.5333
16,-217.959,-300.697,-55.1335
16.5,-223.308,-306.047,-57.7809
17,-228.529,-311.268,-60.4745
17.5,-233.619,-316.358,-63.213
18,-238.575,-321.313,-65.9954
18.5,-243.394,-326.132,-68.8204
19,-248.073,-330.812,-71.6869
19.5,-252.611,-335.349,-74.5935
20,-257.004,-339.742,-77.5392
20.5,-261.25,-343.988,-80.5225
21,-265.347,-348.085,-83.5423
21.5,-269.292,-352.031,-86.5971
22,-273.084,-355.823,-89.6857
22.5,-276.721,-359.459,-92.8067
23,-280.2,-362.938,-95.9587
23.5,-283.52,-366.258,-99.1405
24,-286.679,-369.417,-102.35
24.5,-289.675,-372.414,-105.587
25,-292.507,-375.246,-108.85
25.5,-295.174,-377.913,-112.136
26,-297.674,-380.413,-115.445
26.5,-300.006,-382.745,-118.775
27,-302.169,-384.908,-122.124
27.5,-304.162,-386.9,-125.492
28,-305.984,-388.722,-128.876
28.5,-307.634,-390.372,-132.275
29,-309.111,-391.85,-135.689
29.5,-310.416,-393.154,-139.114
30,-311.547,-394.285,-142.55
30.5,-312.504,-395.243,-145.995
31,-313.287,-396.026,-149.447
31.5,-313.896,-396.634,-152.906
32,-314.33,-397.069,-156.369
32.5,-314.59,-397.329,-159.835
33,-314.676,-397.415,-163.303
33.5,-314.588,-397.327,-166.771
34,-314.327,-397.066,-170.237
34.5,-313.893,-396.631,-173.7
35,-313.286,-396.025,-177.159
35.5,-312.508,-395.246,-180.611
36,-311.558,-394.297,-184.056
36.5,-310.439,-393.177,-187.492
37,-309.15,-391.889,-190.918
37.5,-307.694,-390.432,-194.331
38,-306.07,-388.809,-197.731
38.5,-304.281,-387.02,-201.116
39,-302.328,-385.067,-204.485
39.5,-300.213,-382.951,-207.836
40,-297.936,-380.675,-211.168
40.5,-295.5,-378.238,-214.48
41,-292.906,-375.644,-217.769
41.5,-290.156,-372.894,-221.035
42,-287.252,-369.991,-224.277
42.5,-284.196,-366.935,-227.492
43,-280.99,-363.729,-230.68
43.5,-277.637,-360.376,-233.84
44,-274.138,-356.877,-236.969
44.5,-270.496,-353.235,-240.068
45,-266.714,-349.452,-243.134
45.5,-262.793,-345.531,-246.166
46,-258.736,-341.475,-249.164
46.5,-254.547,-337.285,-252.126
47,-250.227,-332.965,-255.05
47.5,-245.779,-328.518,-257.936
48,-241.207,-323.945,-260.783
48.5,-236.513,-319.251,-263.59
49,-231.699,-314.438,-266.355
49.5,-226.77,-309.509,-269.077
50,-221.728,-304.467,-271.756
50.5,-216.577,-299.315,-274.391
51,-211.318,-294.057,-276.98
51.5,-205.956,-288.695,-279.523
52,-200.495,-283.233,-282.018
52.5,-194.936,-277.674,-284.466
53,-189.283,-272.022,-286.864
53.5,-183.541,-266.28,-289.213
54,-177.712,-260.45,-291.511
54.5,-171.799,-254.538,-293.758
55,-165.807,-248.546,-295.953
55.5,-159.738,-242.477,-298.096
56,-153.597,-236.335,-300.185
56.5,-147.386,-230.125,-302.22
