alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
0,1017.88,-13968.1,-12950.2,0,-12950.2,-0,-12950.2,-0,-0,10292.1
0.5,1017.88,-13967.1,-12949.2,0.00290885,-12949.3,-37.6674,-12948.4,-150.668,-7.53339,10291.4
1,1017.88,-13964.2,-12946.3,0.0058175,-12946.5,-75.3159,-12943,-301.248,-15.0624,10289.2
1.5,1017.88,-13959.3,-12941.4,0.00872576,-12941.9,-112.926,-12934,-451.654,-22.5827,10285.6
2,1017.88,-13952.4,-12934.5,0.0116334,-12935.4,-150.48,-12921.4,-601.797,-30.0898,10280.5
2.5,1017.88,-13943.6,-12925.7,0.0145403,-12927.1,-187.957,-12905.2,-751.59,-37.5795,10274
3,1017.88,-13932.8,-12915,0.0174462,-12916.9,-225.34,-12885.5,-900.948,-45.0474,10266.1
3.5,1017.88,-13920.1,-12902.2,0.0203509,-12904.9,-262.609,-12862.1,-1049.78,-52.4891,10256.7
4,1017.88,-13905.4,-12887.6,0.0232543,-12891.1,-299.745,-12835.3,-1198.01,-59.9003,10245.9
4.5,1017.88,-13888.8,-12871,0.026156,-12875.4,-336.73,-12804.9,-1345.54,-67.2768,10233.7
5,1017.88,-13870.3,-12852.4,0.029056,-12857.8,-373.545,-12770.9,-1492.28,-74.6142,10220
5.5,1017.88,-13849.8,-12831.9,0.031954,-12838.5,-410.171,-12733.5,-1638.17,-81.9083,10204.9
6,1017.88,-13827.4,-12809.5,0.0348499,-12817.3,-446.59,-12692.6,-1783.1,-89.1549,10188.4
6.5,1017.88,-13803,-12785.1,0.0377434,-12794.2,-482.783,-12648.3,-1927,-96.3498,10170.4
7,1017.88,-13776.7,-12758.8,0.0406343,-12769.4,-518.732,-12600.5,-2069.78,-103.489,10151.1
7.5,1017.88,-13748.5,-12730.6,0.0435225,-12742.7,-554.419,-12549.4,-2211.36,-110.568,10130.3
8,1017.88,-13718.4,-12700.5,0.0464077,-12714.2,-589.825,-12494.8,-2351.66,-117.583,10108.1
