alpha_deg,Z_plus_Pc_N,T_N,Pc_prime_N
0,-6158.59,-0,6791.61
0.5,-6156.79,-150.668,6791.61
1,-6151.39,-301.248,6791.61
1.5,-6142.39,-451.654,6791.61
2,-6129.79,-601.797,6791.61
2.5,-6113.61,-751.59,6791.61
3,-6093.85,-900.948,6791.61
3.5,-6070.53,-1049.78,6791.61
4,-6043.66,-1198.01,6791.61
4.5,-6013.25,-1345.54,6791.61
5,-5979.33,-1492.28,6791.61
5.5,-5941.91,-1638.17,6791.61
6,-5901.01,-1783.1,6791.61
6.5,-5856.67,-1927,6791.61
7,-5808.9,-2069.78,6791.61
7.5,-5757.74,-2211.36,6791.61
8,-5703.22,-2351.66,6791.61
8.5,-5645.36,-2490.59,6791.61
9,-5584.2,-2628.08,6791.61
9.5,-5519.79,-2764.06,6791.61
10,-5452.14,-2898.43,6791.61
10.5,-5381.32,-3031.12,6791.61
11,-5307.35,-3162.06,6791.61
11.5,-5230.29,-3291.18,6791.61
12,-5150.18,-3418.39,6791.61
12.5,-5067.06,-3543.63,6791.61
13,-4980.98,-3666.82,6791.61
13.5,-4892,-3787.89,6791.61
14,-4800.17,-3906.78,6791.61
14.5,-4705.54,-4023.42,6791.61
15,-4608.17,-4137.74,6791.61
15.5,-4508.11,-4249.68,6791.61
16,-4405.42,-4359.18,6791.61
16.5,-4300.17,-4466.16,6791.61
17,-4192.42,-4570.58,6791.61
17.5,-4082.22,-4672.38,6791.61
18,-3969.65,-4771.49,6791.61
18.5,-3854.77,-4867.87,6791.61
19,-3737.64,-4961.46,6791.61
19.5,-3618.34,-5052.21,6791.61
20,-3496.93,-5140.07,6791.61
20.5,-3373.49,-5224.99,6791.61
21,-3248.08,-5306.93,6791.61
21.5,-3120.78,-5385.84,6791.61
22,-2991.67,-5461.68,6791.61
22.5,-2860.81,-5534.41,6791.61
23,-2728.29,-5604,6791.61
23.5,-2594.17,-5670.39,6791.61
24,-2458.54,-5733.57,6791.61
24.5,-2321.48,-5793.5,6791.61
25,-2183.06,-5850.15,6791.61
25.5,-2043.36,-5903.48,6791.61
26,-1902.46,-5953.48,6791.61
26.5,-1760.45,-6000.12,6791.61
27,-1617.4,-6043.38,6791.61
27.5,-1473.39,-6083.24,6791.61
28,-1328.51,-6119.67,6791.61
28.5,-1182.84,-6152.68,6791.61
29,-1036.46,-6182.23,6791.61
29.5,-889.444,-6208.32,6791.61
30,-741.886,-6230.94,6791.61
30.5,-593.865,-6250.08,6791.61
31,-445.463,-6265.74,6791.61
31.5,-296.763,-6277.91,6791.61
32,-147.847,-6286.6,6791.61
32.5,1.20309,-6291.8,6791.61
33,150.305,-6293.52,6791.61
33.5,299.377,-6291.77,6791.61
34,448.337,-6286.54,6791.61
34.5,597.106,-6277.85,6791.61
35,745.601,-6265.72,6791.61
35.5,893.742,-6250.15,6791.61
36,1041.45,-6231.16,6791.61
36.5,1188.65,-6208.77,6791.61
37,1335.25,-6183,6791.61
37.5,1481.19,-6153.87,6791.61
38,1626.38,-6121.41,6791.61
38.5,1770.75,-6085.63,6791.61
39,1914.23,-6046.57,6791.61
39.5,2056.73,-6004.26,6791.61
40,2198.18,-5958.72,6791.61
40.5,2338.52,-5909.99,6791.61
41,2477.67,-5858.11,6791.61
41.5,2615.55,-5803.12,6791.61
42,2752.11,-5745.04,6791.61
42.5,2887.27,-5683.92,6791.61
43,3020.96,-5619.81,6791.61
43.5,3153.12,-5552.74,6791.61
44,3283.69,-5482.77,6791.61
44.5,3412.59,-5409.93,6791.61
45,3539.78,-5334.27,6791.61
45.5,3665.18,-5255.86,6791.61
46,3788.74,-5174.72,6791.61
46.5,3910.4,-5090.93,6791.61
47,4030.1,-5004.53,6791.61
47.5,4147.8,-4915.58,6791.61
48,4263.43,-4824.14,6791.61
48.5,4376.95,-4730.25,6791.61
49,4488.3,-4633.99,6791.61
49.5,4597.44,-4535.41,6791.61
50,4704.32,-4434.57,6791.61
50.5,4808.89,-4331.53,6791.61
51,4911.12,-4226.36,6791.61
51.5,5010.95,-4119.13,6791.61
52,5108.36,-4009.89,6791.61
52.5,5203.3,-3898.72,6791.61
53,5295.74,-3785.67,6791.61
53.5,5385.64,-3670.82,6791.61
54,5472.96,-3554.24,6791.61
54.5,5557.69,-3435.99,6791.61
55,5639.79,-3316.14,6791.61
55.5,5719.22,-3194.77,6791.61
56,5795.98,-3071.94,6791.61
56.5,5870.03,-2947.72,6791.61
57,5941.35,-2822.19,6791.61
57.5,6009.93,-2695.42,6791.61
58,6075.74,-2567.48,6791.61
58.5,6138.77,-2438.44,6791.61
59,6199.01,-2308.38,6791.61
59.5,6256.44,-2177.36,6791.61
60,6311.05,-2045.46,6791.61
60.5,6362.84,-1912.75,6791.61
61,6411.79,-1779.31,6791.61
61.5,6457.91,-1645.2,6791.61
62,6501.19,-1510.5,6791.61
62.5,6541.62,-1375.29,6791.61
63,6579.22,-1239.62,6791.61
63.5,6613.98,-1103.59,6791.61
64,6645.91,-967.246,6791.61
64.5,6675.01,-830.673,6791.61
65,6701.29,-693.938,6791.61
65.5,6724.76,-557.112,6791.61
66,6745.43,-420.264,6791.61
