alpha_deg,P,V
0,90000,0.000102816
0.5,90000,0.000102845
1,90000,0.000102934
1.5,90000,0.000103081
2,90000,0.000103288
2.5,90000,0.000103554
3,90000,0.000103878
3.5,90000,0.000104262
4,90000,0.000104704
4.5,90000,0.000105205
5,90000,0.000105765
5.5,90000,0.000106383
6,90000,0.00010706
6.5,90000,0.000107796
7,90000,0.00010859
7.5,90000,0.000109442
8,90000,0.000110353
8.5,90000,0.000111321
9,90000,0.000112347
9.5,90000,0.000113432
10,90000,0.000114573
10.5,90000,0.000115773
11,90000,0.000117029
11.5,90000,0.000118343
12,90000,0.000119714
12.5,90000,0.000121142
13,90000,0.000122626
13.5,90000,0.000124167
14,90000,0.000125764
14.5,90000,0.000127417
15,90000,0.000129126
15.5,90000,0.000130891
16,90000,0.000132711
16.5,90000,0.000134586
17,90000,0.000136516
17.5,90000,0.0001385
18,90000,0.000140539
18.5,90000,0.000142632
19,90000,0.000144779
19.5,90000,0.00014698
20,90000,0.000149233
20.5,90000,0.00015154
21,90000,0.000153899
21.5,90000,0.000156311
22,90000,0.000158775
22.5,90000,0.00016129
23,90000,0.000163857
23.5,90000,0.000166475
24,90000,0.000169144
24.5,90000,0.000171863
25,90000,0.000174632
25.5,90000,0.000177451
26,90000,0.000180319
26.5,90000,0.000183236
27,90000,0.000186202
27.5,90000,0.000189216
28,90000,0.000192277
28.5,90000,0.000195386
29,90000,0.000198542
29.5,90000,0.000201745
30,90000,0.000204994
30.5,90000,0.000208288
31,90000,0.000211628
31.5,90000,0.000215013
32,90000,0.000218442
32.5,90000,0.000221915
33,90000,0.000225432
33.5,90000,0.000228991
34,90000,0.000232594
34.5,90000,0.000236238
35,90000,0.000239925
35.5,90000,0.000243653
36,90000,0.000247421
36.5,90000,0.00025123
37,90000,0.000255078
37.5,90000,0.000258966
38,90000,0.000262893
38.5,90000,0.000266858
39,90000,0.000270861
39.5,90000,0.000274901
40,90000,0.000278978
40.5,90000,0.000283091
41,90000,0.00028724
41.5,90000,0.000291425
42,90000,0.000295644
42.5,90000,0.000299897
43,90000,0.000304184
43.5,90000,0.000308504
44,90000,0.000312856
44.5,90000,0.000317241
45,90000,0.000321657
45.5,90000,0.000326104
46,90000,0.000330582
46.5,90000,0.000335089
47,90000,0.000339625
47.5,90000,0.000344191
48,90000,0.000348784
48.5,90000,0.000353405
49,90000,0.000358053
49.5,90000,0.000362727
50,90000,0.000367427
50.5,90000,0.000372153
51,90000,0.000376903
51.5,90000,0.000381678
52,90000,0.000386475
52.5,90000,0.000391296
53,90000,0.00039614
53.5,90000,0.000401005
54,90000,0.000405891
54.5,90000,0.000410798
55,90000,0.000415725
55.5,90000,0.000420671
56,90000,0.000425637
56.5,90000,0.00043062
57,90000,0.000435621
57.5,90000,0.00044064
58,90000,0.000445675
58.5,90000,0.000450726
59,90000,0.000455792
59.5,90000,0.000460873
60,90000,0.000465968
60.5,90000,0.000471076
61,90000,0.000476198
61.5,90000,0.000481332
62,90000,0.000486478
62.5,90000,0.000491635
63,90000,0.000496802
63.5,90000,0.00050198
64,90000,0.000507167
64.5,90000,0.000512363
65,90000,0.000517567
65.5,90000,0.000522779
66,90000,0.000527999
66.5,90000,0.000533224
67,90000,0.000538456
67.5,90000,0.000543693
68,90000,0.000548935
68.5,90000,0.000554182
69,90000,0.000559432
69.5,90000,0.000564685
70,90000,0.000569941
70.5,90000,0.000575199
71,90000,0.000580458
71.5,90000,0.000585719
72,90000,0.000590979
72.5,90000,0.00059624
73,90000,0.0006015
73.5,90000,0.000606759
74,90000,0.000612015
74.5,90000,0.00061727
75,90000,0.000622522
75.5,90000,0.00062777
76,90000,0.000633015
76.5,90000,0.000638255
77,90000,0.000643491
77.5,90000,0.000648721
78,90000,0.000653945
78.5,90000,0.000659162
79,90000,0.000664373
79.5,90000,0.000669576
80,90000,0.000674772
80.5,90000,0.000679959
81,90000,0.000685137
81.5,90000,0.000690306
82,90000,0.000695466
82.5,90000,0.000700614
83,90000,0.000705753
83.5,90000,0.00071088
84,90000,0.000715995
84.5,90000,0.000721099
85,90000,0.00072619
85.5,90000,0.000731268
86,90000,0.000736333
86.5,90000,0.000741384
87,90000,0.00074642
87.5,90000,0.000751443
88,90000,0.00075645
88.5,90000,0.000761441
89,90000,0.000766417
89.5,90000,0.000771377
90,90000,0.00077632
90.5,90000,0.000781247
91,90000,0.000786156
91.5,90000,0.000791047
92,90000,0.00079592
92.5,90000,0.000800775
93,90000,0.000805611
93.5,90000,0.000810428
94,90000,0.000815225
94.5,90000,0.000820003
95,90000,0.000824761
95.5,90000,0.000829498
96,90000,0.000834214
96.5,90000,0.00083891
97,90000,0.000843584
97.5,90000,0.000848236
98,90000,0.000852867
98.5,90000,0.000857475
99,90000,0.000862061
99.5,90000,0.000866624
100,90000,0.000871163
100.5,90000,0.00087568
101,90000,0.000880173
101.5,90000,0.000884642
102,90000,0.000889087
102.5,90000,0.000893508
103,90000,0.000897904
103.5,90000,0.000902276
104,90000,0.000906622
104.5,90000,0.000910944
105,90000,0.000915239
105.5,90000,0.00091951
106,90000,0.000923754
106.5,90000,0.000927972
107,90000,0.000932164
107.5,90000,0.00093633
108,90000,0.000940469
108.5,90000,0.000944582
109,90000,0.000948667
109.5,90000,0.000952725
110,90000,0.000956757
110.5,90000,0.00096076
111,90000,0.000964736
111.5,90000,0.000968685
112,90000,0.000972605
112.5,90000,0.000976498
113,90000,0.000980363
113.5,90000,0.000984199
114,90000,0.000988007
114.5,90000,0.000991786
115,90000,0.000995537
115.5,90000,0.00099926
116,90000,0.00100295
116.5,90000,0.00100662
117,90000,0.00101025
117.5,90000,0.00101386
118,90000,0.00101744
118.5,90000,0.00102099
119,90000,0.0010245
119.5,90000,0.00102799
120,90000,0.00103145
120.5,90000,0.00103488
121,90000,0.00103829
121.5,90000,0.00104166
122,90000,0.001045
122.5,90000,0.00104831
123,90000,0.00105159
123.5,90000,0.00105485
124,90000,0.00105807
124.5,90000,0.00106126
125,90000,0.00106442
125.5,90000,0.00106756
126,90000,0.00107066
126.5,90000,0.00107373
127,90000,0.00107678
127.5,90000,0.00107979
128,90000,0.00108277
128.5,90000,0.00108572
129,90000,0.00108865
129.5,90000,0.00109154
130,90000,0.0010944
130.5,90000,0.00109724
131,90000,0.00110004
131.5,90000,0.00110281
132,90000,0.00110555
132.5,90000,0.00110827
133,90000,0.00111095
133.5,90000,0.0011136
134,90000,0.00111622
134.5,90000,0.00111881
135,90000,0.00112138
135.5,90000,0.00112391
136,90000,0.00112641
136.5,90000,0.00112888
137,90000,0.00113133
137.5,90000,0.00113374
138,90000,0.00113612
138.5,90000,0.00113847
139,90000,0.0011408
139.5,90000,0.00114309
140,90000,0.00114535
140.5,90000,0.00114759
141,90000,0.00114979
141.5,90000,0.00115197
142,90000,0.00115411
142.5,90000,0.00115623
143,90000,0.00115831
143.5,90000,0.00116037
144,90000,0.0011624
144.5,90000,0.0011644
145,90000,0.00116636
145.5,90000,0.0011683
146,90000,0.00117021
146.5,90000,0.00117209
147,90000,0.00117395
147.5,90000,0.00117577
148,90000,0.00117756
148.5,90000,0.00117933
149,90000,0.00118106
149.5,90000,0.00118277
150,90000,0.00118445
150.5,90000,0.00118609
151,90000,0.00118771
151.5,90000,0.00118931
152,90000,0.00119087
152.5,90000,0.0011924
153,90000,0.00119391
153.5,90000,0.00119538
154,90000,0.00119683
154.5,90000,0.00119825
155,90000,0.00119964
155.5,90000,0.00120101
156,90000,0.00120234
156.5,90000,0.00120365
157,90000,0.00120492
157.5,90000,0.00120617
158,90000,0.0012074
158.5,90000,0.00120859
159,90000,0.00120975
159.5,90000,0.00121089
160,90000,0.001212
160.5,90000,0.00121308
161,90000,0.00121414
161.5,90000,0.00121516
162,90000,0.00121616
