alpha_deg,Z_plus_Pc_N,T_N,Pc_prime_N
0,-6024.18,-0,6974.52
0.5,-6022.41,-151.233,6974.52
1,-6017.11,-302.38,6974.52
1.5,-6008.27,-453.357,6974.52
2,-5995.9,-604.079,6974.52
2.5,-5980.01,-754.462,6974.52
3,-5960.61,-904.419,6974.52
3.5,-5937.7,-1053.87,6974.52
4,-5911.31,-1202.72,6974.52
4.5,-5881.45,-1350.9,6974.52
5,-5848.13,-1498.33,6974.52
5.5,-5811.37,-1644.9,6974.52
6,-5771.2,-1790.56,6974.52
6.5,-5727.65,-1935.2,6974.52
7,-5680.72,-2078.76,6974.52
7.5,-5630.46,-2221.16,6974.52
8,-5576.89,-2362.3,6974.52
8.5,-5520.04,-2502.12,6974.52
9,-5459.95,-2640.54,6974.52
9.5,-5396.65,-2777.48,6974.52
10,-5330.18,-2912.85,6974.52
10.5,-5260.57,-3046.6,6974.52
11,-5187.87,-3178.64,6974.52
11.5,-5112.12,-3308.9,6974.52
12,-5033.36,-3437.31,6974.52
12.5,-4951.64,-3563.79,6974.52
13,-4867.01,-3688.29,6974.52
13.5,-4779.51,-3810.72,6974.52
14,-4689.19,-3931.03,6974.52
14.5,-4596.12,-4049.14,6974.52
15,-4500.33,-4164.99,6974.52
15.5,-4401.9,-4278.52,6974.52
16,-4300.86,-4389.67,6974.52
16.5,-4197.29,-4498.38,6974.52
17,-4091.24,-4604.59,6974.52
17.5,-3982.77,-4708.23,6974.52
18,-3871.94,-4809.27,6974.52
18.5,-3758.82,-4907.63,6974.52
19,-3643.48,-5003.28,6974.52
19.5,-3525.97,-5096.15,6974.52
20,-3406.37,-5186.2,6974.52
20.5,-3284.75,-5273.39,6974.52
21,-3161.16,-5357.67,6974.52
21.5,-3035.69,-5438.99,6974.52
22,-2908.41,-5517.31,6974.52
22.5,-2779.38,-5592.6,6974.52
23,-2648.69,-5664.81,6974.52
23.5,-2516.39,-5733.9,6974.52
24,-2382.58,-5799.86,6974.52
24.5,-2247.32,-5862.63,6974.52
25,-2110.69,-5922.2,6974.52
25.5,-1972.77,-5978.53,6974.52
26,-1833.63,-6031.59,6974.52
26.5,-1693.35,-6081.37,6974.52
27,-1552.02,-6127.84,6974.52
27.5,-1409.7,-6170.98,6974.52
28,-1266.48,-6210.77,6974.52
28.5,-1122.43,-6247.19,6974.52
29,-977.648,-6280.23,6974.52
29.5,-832.198,-6309.88,6974.52
30,-686.164,-6336.13,6974.52
30.5,-539.627,-6358.96,6974.52
31,-392.667,-6378.38,6974.52
31.5,-245.363,-6394.38,6974.52
32,-97.7959,-6406.95,6974.52
32.5,49.9545,-6416.1,6974.52
33,197.809,-6421.83,6974.52
33.5,345.687,-6424.14,6974.52
34,493.509,-6423.04,6974.52
34.5,641.198,-6418.53,6974.52
35,788.674,-6410.63,6974.52
35.5,935.859,-6399.35,6974.52
36,1082.67,-6384.69,6974.52
36.5,1229.05,-6366.69,6974.52
37,1374.89,-6345.35,6974.52
37.5,1520.14,-6320.69,6974.52
38,1664.72,-6292.74,6974.52
38.5,1808.55,-6261.51,6974.52
39,1951.55,-6227.05,6974.52
39.5,2093.66,-6189.36,6974.52
40,2234.8,-6148.48,6974.52
40.5,2374.91,-6104.45,6974.52
41,2513.9,-6057.28,6974.52
41.5,2651.72,-6007.03,6974.52
42,2788.29,-5953.72,6974.52
42.5,2923.54,-5897.39,6974.52
43,3057.42,-5838.08,6974.52
43.5,3189.85,-5775.83,6974.52
44,3320.77,-5710.68,6974.52
44.5,3450.12,-5642.68,6974.52
45,3577.84,-5571.87,6974.52
45.5,3703.86,-5498.3,6974.52
46,3828.14,-5422.02,6974.52
46.5,3950.6,-5343.07,6974.52
47,4071.2,-5261.51,6974.52
47.5,4189.89,-5177.39,6974.52
48,4306.6,-5090.77,6974.52
48.5,4421.29,-5001.69,6974.52
49,4533.9,-4910.22,6974.52
49.5,4644.4,-4816.4,6974.52
50,4752.72,-4720.31,6974.52
50.5,4858.84,-4621.99,6974.52
51,4962.7,-4521.51,6974.52
51.5,5064.25,-4418.93,6974.52
52,5163.47,-4314.32,6974.52
52.5,5260.32,-4207.72,6974.52
53,5354.75,-4099.21,6974.52
53.5,5446.72,-3988.86,6974.52
54,5536.22,-3876.72,6974.52
54.5,5623.2,-3762.87,6974.52
55,5707.64,-3647.36,6974.52
55.5,5789.51,-3530.28,6974.52
56,5868.78,-3411.67,6974.52
56.5,5945.42,-3291.62,6974.52
57,6019.42,-3170.19,6974.52
57.5,6090.75,-3047.45,6974.52
58,6159.39,-2923.46,6974.52
58.5,6225.33,-2798.31,6974.52
59,6288.55,-2672.05,6974.52
59.5,6349.04,-2544.76,6974.52
60,6406.78,-2416.5,6974.52
60.5,6461.77,-2287.35,6974.52
61,6513.99,-2157.38,6974.52
61.5,6563.44,-2026.66,6974.52
62,6610.11,-1895.25,6974.52
62.5,6654.01,-1763.23,6974.52
63,6695.13,-1630.67,6974.52
63.5,6733.46,-1497.63,6974.52
64,6769.02,-1364.19,6974.52
64.5,6801.8,-1230.41,6974.52
65,6831.81,-1096.37,6974.52
65.5,6859.06,-962.121,6974.52
66,6883.56,-827.745,6974.52
66.5,6905.31,-693.305,6974.52
67,6924.33,-558.867,6974.52
67.5,6940.63,-424.498,6974.52
68,6954.23,-290.263,6974.52
68.5,6965.15,-156.228,6974.52
69,6973.39,-22.4569,6974.52
69.5,6978.99,110.987,6974.52
70,6981.96,244.041,6974.52
70.5,6982.32,376.643,6974.52
71,6980.1,508.731,6974.52
71.5,6975.32,640.245,6974.52
72,6968.02,771.126,6974.52
72.5,6958.21,901.315,6974.52
73,6945.93,1030.75,6974.52
73.5,6931.21,1159.39,6974.52
74,6914.08,1287.16,6974.52
74.5,6894.57,1414.01,6974.52
75,6872.71,1539.9,6974.52
75.5,6848.55,1664.76,6974.52
76,6822.11,1788.55,6974.52
76.5,6793.43,1911.22,6974.52
77,6762.56,2032.71,6974.52
77.5,6729.53,2152.98,6974.52
78,6694.38,2271.99,6974.52
78.5,6657.15,2389.68,6974.52
79,6617.88,2506.01,6974.52
79.5,6576.62,2620.95,6974.52
80,6533.41,2734.44,6974.52
80.5,6488.29,2846.45,6974.52
81,6441.31,2956.94,6974.52
81.5,6392.51,3065.88,6974.52
82,6341.93,3173.21,6974.52
82.5,6289.63,3278.92,6974.52
83,6235.66,3382.96,6974.52
83.5,6180.05,3485.31,6974.52
84,6122.86,3585.93,6974.52
84.5,6064.13,3684.79,6974.52
85,6003.91,3781.86,6974.52
85.5,5942.26,3877.12,6974.52
86,5879.21,3970.55,6974.52
86.5,5814.83,4062.11,6974.52
87,5749.16,4151.78,6974.52
87.5,5682.24,4239.55,6974.52
88,5614.14,4325.39,6974.52
88.5,5544.89,4409.29,6974.52
89,5474.55,4491.22,6974.52
89.5,5403.18,4571.17,6974.52
90,5330.81,4649.12,6974.52
90.5,5257.49,4725.07,6974.52
91,5183.29,4798.99,6974.52
91.5,5108.24,4870.88,6974.52
92,5032.41,4940.73,6974.52
92.5,4955.82,5008.54,6974.52
93,4878.55,5074.28,6974.52
93.5,4800.62,5137.96,6974.52
94,4722.11,5199.57,6974.52
94.5,4643.04,5259.11,6974.52
95,4563.47,5316.58,6974.52
95.5,4483.44,5371.97,6974.52
96,4403.01,5425.29,6974.52
96.5,4322.21,5476.54,6974.52
97,4241.11,5525.71,6974.52
97.5,4159.73,5572.82,6974.52
98,4078.13,5617.86,6974.52
98.5,3996.34,5660.85,6974.52
99,3914.43,5701.79,6974.52
99.5,3832.42,5740.68,6974.52
100,3750.35,5777.54,6974.52
100.5,3668.28,5812.38,6974.52
101,3586.25,5845.2,6974.52
101.5,3504.28,5876.03,6974.52
102,3422.43,5904.86,6974.52
102.5,3340.73,5931.72,6974.52
103,3259.22,5956.62,6974.52
103.5,3177.94,5979.57,6974.52
104,3096.93,6000.59,6974.52
104.5,3016.22,6019.7,6974.52
105,2935.84,6036.91,6974.52
105.5,2855.84,6052.25,6974.52
106,2776.23,6065.73,6974.52
106.5,2697.07,6077.36,6974.52
107,2618.38,6087.18,6974.52
107.5,2540.19,6095.21,6974.52
108,2462.52,6101.46,6974.52
108.5,2385.42,6105.95,6974.52
109,2308.91,6108.71,6974.52
109.5,2233.01,6109.77,6974.52
110,2157.76,6109.14,6974.52
110.5,2083.17,6106.86,6974.52
111,2009.28,6102.94,6974.52
111.5,1936.11,6097.41,6974.52
112,1863.67,6090.29,6974.52
112.5,1792,6081.62,6974.52
113,1721.12,6071.42,6974.52
113.5,1651.03,6059.71,6974.52
114,1581.77,6046.52,6974.52
114.5,1513.36,6031.88,6974.52
115,1445.8,6015.82,6974.52
115.5,1379.12,5998.36,6974.52
116,1313.33,5979.54,6974.52
116.5,1248.45,5959.37,6974.52
117,1184.49,5937.89,6974.52
117.5,1121.47,5915.13,6974.52
118,1059.39,5891.12,6974.52
118.5,998.274,5865.87,6974.52
119,938.125,5839.43,6974.52
119.5,878.954,5811.82,6974.52
120,820.771,5783.07,6974.52
120.5,763.583,5753.21,6974.52
121,707.398,5722.26,6974.52
121.5,652.223,5690.26,6974.52
122,598.062,5657.23,6974.52
122.5,544.921,5623.2,6974.52
123,492.804,5588.21,6974.52
123.5,441.714,5552.27,6974.52
124,391.654,5515.42,6974.52
124.5,342.625,5477.68,6974.52
125,294.628,5439.09,6974.52
125.5,247.664,5399.66,6974.52
126,201.732,5359.43,6974.52
126.5,156.832,5318.43,6974.52
127,112.961,5276.68,6974.52
127.5,70.1178,5234.21,6974.52
128,28.2984,5191.04,6974.52
128.5,-12.5005,5147.2,6974.52
129,-52.2832,5102.72,6974.52
129.5,-91.0547,5057.62,6974.52
130,-128.82,5011.93,6974.52
130.5,-165.586,4965.67,6974.52
131,-201.359,4918.87,6974.52
131.5,-236.145,4871.55,6974.52
132,-269.953,4823.73,6974.52
132.5,-302.791,4775.45,6974.52
133,-334.667,4726.71,6974.52
133.5,-365.59,4677.55,6974.52
134,-395.571,4627.99,6974.52
134.5,-424.618,4578.05,6974.52
135,-452.743,4527.75,6974.52
135.5,-479.956,4477.11,6974.52
136,-506.269,4426.15,6974.52
136.5,-531.692,4374.9,6974.52
137,-556.239,4323.37,6974.52
137.5,-579.921,4271.58,6974.52
138,-602.751,4219.56,6974.52
138.5,-624.742,4167.31,6974.52
139,-645.906,4114.87,6974.52
139.5,-666.259,4062.24,6974.52
140,-685.812,4009.45,6974.52
140.5,-704.581,3956.5,6974.52
141,-722.58,3903.43,6974.52
141.5,-739.822,3850.24,6974.52
142,-756.323,3796.94,6974.52
142.5,-772.098,3743.56,6974.52
143,-787.161,3690.11,6974.52
143.5,-801.528,3636.6,6974.52
144,-815.213,3583.05,6974.52
144.5,-828.233,3529.46,6974.52
145,-840.603,3475.86,6974.52
145.5,-852.338,3422.26,6974.52
146,-863.454,3368.65,6974.52
146.5,-873.968,3315.07,6974.52
147,-883.894,3261.52,6974.52
147.5,-893.249,3208,6974.52
148,-902.048,3154.53,6974.52
148.5,-910.308,3101.13,6974.52
149,-918.045,3047.79,6974.52
149.5,-925.273,2994.52,6974.52
150,-932.01,2941.34,6974.52
150.5,-938.272,2888.26,6974.52
151,-944.073,2835.27,6974.52
151.5,-949.429,2782.39,6974.52
152,-954.357,2729.63,6974.52
152.5,-958.872,2676.98,6974.52
153,-962.99,2624.46,6974.52
153.5,-966.725,2572.07,6974.52
154,-970.094,2519.82,6974.52
154.5,-973.111,2467.71,6974.52
155,-975.792,2415.74,6974.52
155.5,-978.151,2363.92,6974.52
156,-980.203,2312.25,6974.52
156.5,-981.963,2260.74,6974.52
157,-983.446,2209.38,6974.52
157.5,-984.665,2158.18,6974.52
158,-985.634,2107.15,6974.52
158.5,-986.368,2056.28,6974.52
159,-986.88,2005.57,6974.52
159.5,-987.184,1955.03,6974.52
160,-987.293,1904.65,6974.52
160.5,-987.219,1854.44,6974.52
161,-986.976,1804.4,6974.52
161.5,-986.577,1754.52,6974.52
162,-986.033,1704.81,6974.52
162.5,-985.357,1655.26,6974.52
163,-984.561,1605.88,6974.52
163.5,-983.655,1556.65,6974.52
164,-982.652,1507.59,6974.52
164.5,-981.561,1458.69,6974.52
165,-980.395,1409.94,6974.52
165.5,-979.164,1361.34,6974.52
166,-977.876,1312.89,6974.52
166.5,-976.543,1264.59,6974.52
167,-975.174,1216.43,6974.52
167.5,-973.778,1168.42,6974.52
168,-972.364,1120.54,6974.52
168.5,-970.941,1072.79,6974.52
169,-969.516,1025.17,6974.52
169.5,-968.098,977.681,6974.52
170,-966.695,930.308,6974.52
170.5,-965.313,883.051,6974.52
171,-963.96,835.904,6974.52
171.5,-962.642,788.863,6974.52
172,-961.365,741.923,6974.52
172.5,-960.136,695.078,6974.52
173,-958.96,648.324,6974.52
173.5,-957.842,601.654,6974.52
174,-956.787,555.063,6974.52
174.5,-955.8,508.546,6974.52
175,-954.885,462.096,6974.52
175.5,-954.045,415.709,6974.52
176,-953.284,369.377,6974.52
176.5,-952.606,323.095,6974.52
177,-952.012,276.857,6974.52
177.5,-951.506,230.656,6974.52
178,-951.089,184.487,6974.52
178.5,-950.763,138.343,6974.52
179,-950.529,92.2184,6974.52
179.5,-950.389,46.106,6974.52
180,-950.342,9.70515e-13,6974.52
180.5,-950.404,-46.1061,6974.52
181,-950.591,-92.2191,6974.52
181.5,-950.903,-138.346,6974.52
182,-951.337,-184.493,6974.52
182.5,-951.893,-230.668,6974.52
183,-952.57,-276.876,6974.52
183.5,-953.365,-323.126,6974.52
184,-954.275,-369.423,6974.52
184.5,-955.299,-415.774,6974.52
185,-956.433,-462.187,6974.52
185.5,-957.674,-508.666,6974.52
186,-959.017,-555.219,6974.52
186.5,-960.46,-601.852,6974.52
187,-961.996,-648.572,6974.52
187.5,-963.621,-695.383,6974.52
188,-965.331,-742.294,6974.52
188.5,-967.119,-789.308,6974.52
189,-968.98,-836.433,6974.52
189.5,-970.908,-883.673,6974.52
190,-972.895,-931.035,6974.52
190.5,-974.935,-978.523,6974.52
191,-977.02,-1026.14,6974.52
191.5,-979.143,-1073.9,6974.52
192,-981.297,-1121.8,6974.52
192.5,-983.472,-1169.84,6974.52
193,-985.661,-1218.04,6974.52
193.5,-987.854,-1266.39,6974.52
194,-990.042,-1314.9,6974.52
194.5,-992.216,-1363.57,6974.52
195,-994.366,-1412.41,6974.52
195.5,-996.481,-1461.42,6974.52
196,-998.552,-1510.6,6974.52
196.5,-1000.57,-1559.96,6974.52
197,-1002.52,-1609.5,6974.52
197.5,-1004.39,-1659.22,6974.52
198,-1006.17,-1709.12,6974.52
198.5,-1007.85,-1759.21,6974.52
199,-1009.42,-1809.49,6974.52
199.5,-1010.87,-1859.95,6974.52
200,-1012.17,-1910.61,6974.52
200.5,-1013.33,-1961.45,6974.52
201,-1014.32,-2012.48,6974.52
201.5,-1015.14,-2063.71,6974.52
202,-1015.76,-2115.13,6974.52
202.5,-1016.18,-2166.73,6974.52
203,-1016.39,-2218.53,6974.52
203.5,-1016.36,-2270.51,6974.52
204,-1016.09,-2322.68,6974.52
204.5,-1015.55,-2375.04,6974.52
205,-1014.74,-2427.57,6974.52
205.5,-1013.64,-2480.29,6974.52
206,-1012.23,-2533.19,6974.52
206.5,-1010.51,-2586.25,6974.52
207,-1008.45,-2639.49,6974.52
207.5,-1006.04,-2692.9,6974.52
208,-1003.26,-2746.46,6974.52
208.5,-1000.1,-2800.19,6974.52
209,-996.547,-2854.06,6974.52
209.5,-992.578,-2908.08,6974.52
210,-988.18,-2962.24,6974.52
210.5,-983.337,-3016.53,6974.52
211,-978.034,-3070.95,6974.52
211.5,-972.254,-3125.49,6974.52
212,-965.982,-3180.14,6974.52
212.5,-959.201,-3234.89,6974.52
213,-951.895,-3289.74,6974.52
213.5,-944.049,-3344.67,6974.52
214,-935.646,-3399.68,6974.52
214.5,-926.67,-3454.76,6974.52
215,-917.106,-3509.89,6974.52
215.5,-906.937,-3565.06,6974.52
216,-896.148,-3620.28,6974.52
216.5,-884.724,-3675.51,6974.52
217,-872.648,-3730.75,6974.52
217.5,-859.905,-3785.99,6974.52
218,-846.479,-3841.22,6974.52
218.5,-832.357,-3896.42,6974.52
219,-817.521,-3951.58,6974.52
219.5,-801.959,-4006.68,6974.52
220,-785.654,-4061.71,6974.52
220.5,-768.593,-4116.65,6974.52
221,-750.761,-4171.49,6974.52
221.5,-732.143,-4226.21,6974.52
222,-712.728,-4280.8,6974.52
222.5,-692.5,-4335.24,6974.52
223,-671.446,-4389.51,6974.52
223.5,-649.554,-4443.59,6974.52
224,-626.811,-4497.47,6974.52
224.5,-603.204,-4551.13,6974.52
225,-578.722,-4604.55,6974.52
225.5,-553.353,-4657.7,6974.52
226,-527.085,-4710.58,6974.52
226.5,-499.908,-4763.15,6974.52
227,-471.812,-4815.4,6974.52
227.5,-442.785,-4867.31,6974.52
228,-412.819,-4918.86,6974.52
228.5,-381.904,-4970.02,6974.52
229,-350.032,-5020.78,6974.52
229.5,-317.194,-5071.11,6974.52
230,-283.383,-5120.98,6974.52
230.5,-248.591,-5170.39,6974.52
231,-212.812,-5219.29,6974.52
231.5,-176.039,-5267.68,6974.52
232,-138.267,-5315.52,6974.52
232.5,-99.4905,-5362.79,6974.52
233,-59.7056,-5409.46,6974.52
233.5,-18.908,-5455.53,6974.52
234,22.9054,-5500.94,6974.52
234.5,65.7372,-5545.69,6974.52
235,109.59,-5589.75,6974.52
235.5,154.464,-5633.09,6974.52
236,200.36,-5675.69,6974.52
236.5,247.279,-5717.52,6974.52
237,295.22,-5758.55,6974.52
237.5,344.181,-5798.77,6974.52
238,394.16,-5838.13,6974.52
238.5,445.155,-5876.63,6974.52
239,497.161,-5914.22,6974.52
239.5,550.175,-5950.89,6974.52
240,604.192,-5986.6,6974.52
240.5,659.204,-6021.34,6974.52
241,715.207,-6055.08,6974.52
241.5,772.192,-6087.78,6974.52
242,830.152,-6119.43,6974.52
242.5,889.076,-6149.99,6974.52
243,948.956,-6179.45,6974.52
243.5,1009.78,-6207.77,6974.52
244,1071.54,-6234.93,6974.52
244.5,1134.22,-6260.9,6974.52
245,1197.81,-6285.67,6974.52
245.5,1262.29,-6309.19,6974.52
246,1327.65,-6331.46,6974.52
246.5,1393.87,-6352.44,6974.52
247,1460.94,-6372.1,6974.52
247.5,1528.84,-6390.44,6974.52
248,1597.56,-6407.41,6974.52
248.5,1667.06,-6423,6974.52
249,1737.34,-6437.19,6974.52
